"","core","depth_core","volume","charCount","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate","CHAR"
"1","7A",4,1,74,"1B",4,4,8,-52,196.15,17,4.35294117647059
"2","7A",8,1,81,"1B",8,8,66,-36.05,295.4,15,5.4
"3","7A",12,1,224,"1B",12,12,116.5,-23.1,382.2,10.5,21.3333333333333
"4","7A",16,1,319,"1B",16,16,164,-9.05,464.05,11,29
"5","7A",20,1,400,"1B",20,20,213.5,9.95,525,13.5,29.6296296296296
"6","7A",24,1,755,"1B",24,24,265,32.95,574,11,68.6363636363636
"7","7A",28,1,235,"1B",28,28,307.5,51.9,643.35,11.5,20.4347826086957
"8","7A",32,1,97,"1B",32,32,355,73.95,716,10.5,9.23809523809524
"9","7A",36,1,168,"1B",36,36,404.5,98.95,773.05,12,14
"10","7A",40,1,275,"1B",40,40,457.5,141.9,827.3,16.5,16.6666666666667
"11","7A",44,1,167,"1B",44,44,505,178.95,866.15,10,16.7
"12","7A",48,1,124,"1B",48,48,561,216.8,904,12,10.3333333333333
"13","7A",52,1,106,"1B",52,52,620,263.85,938.05,11.5,9.21739130434783
"14","7A",56,1,256,"1B",56,56,675.5,298.9,978.1,13,19.6923076923077
"15","7A",60,1,129,"1B",60,60,722,337,1010.1,13,9.92307692307692
"16","7A",64,1,114,"1B",64,64,765,396.8,1044.1,10.5,10.8571428571429
"17","7A",68,1,154,"1B",68,68,808.5,449.95,1078,9,17.1111111111111
"18","7A",72,1,185,"1B",72,72,866,509.95,1101.05,14,13.2142857142857
"19","7A",76,1,150,"1B",76,76,917,564.75,1133.1,11,13.6363636363636
"20","7A",80,1,258,"1B",80,80,967,637.8,1161.05,10,25.8
"21","7A",88,1,240,"1B",88,88,1071,789.9,1203.1,11,21.8181818181818
"22","7A",92,1,267,"1B",92,92,1123,882.95,1225.05,14,19.0714285714286
"23","7A",96,1,87,"1B",96,96,1170,993,1249,12,7.25
"24","7A",100,1,113,"1B",100,100,1270,1199,1456,45.5,2.48351648351648
"25","7A",104,1,56,"1B",104,104,1358.5,1235,1694.05,23,2.43478260869565
"26","7A",108,1,51,"1B",108,108,1453.5,1266,1843.25,28.5,1.78947368421053
"27","7A",112,1,83,"1B",112,112,1545,1293,1981.05,24.5,3.38775510204082
"28","7A",116,1,56,"1B",116,116,1623.5,1326.9,2087,20.5,2.73170731707317
