"","Lab No","Core","Drive","depth_core","Tracer Added","Lycopodium","Delitschia","Sporormiella","Ascobolus","Saccobolus","Podospora","Strattonia","Sordaria","Xylariaceae","Apiosordaria","Cercophora","Ascodesmis","Melanospora","Chaetomium","Coniochaeta","Gelasinospora","Total Count","Delitschia, Sporormiella, Podospora, Cercopohra, Sordaria","OCFS Concentration","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate"
"1",201,"7A","3B 91",391,14285,54,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,76,0,0,"3B",91,391,10115.5,9311.2,10470,40.5
"2",202,"7A","3B 107",407,14285,46,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,62,0,0,"3B",107,407,11126,10734.9,11619.05,72
"3",203,"7A","3B 123",423,14285,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,44,0,0,"3B",123,423,12041,11901,12315,18
"4",7,"4A","1B 100cm",291,14285,60,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,63,1,238.083333333333,"1B",100,428,12131,11945,12465.15,16
"5",8,"4A","1B 116cm",307,14285,95,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,97,0,0,"1B",116,444,12419.5,12113.95,12759.1,19.5
"6",9,"4A","1B 132cm",323,14285,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48,1,303.936170212766,"1B",132,460,12708.5,12383,12941.1,23
"7",10,"4A","1B 140cm",331,14285,71,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,77,5,1005.98591549296,"1B",140,468,12866,12646,13051.05,25
"8",17,"4A","2B 6cm",347,14285,67,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,80,1,213.208955223881,"2B",6,484,13298.5,12999.65,13668.05,25.5
"9",18,"4A","2B 22cm",363,14285,47,1,6,0,0,0,0,2,0,0,1,0,0,3,15,0,75,10,3039.36170212766,"2B",22,500,13661,13280,13911.05,24
"10",19,"4A","2B 38cm",379,14285,37,1,6,0,0,0,0,2,0,0,0,0,0,2,14,0,62,9,3474.72972972973,"2B",38,516,14129,13906,14387.05,22.5
"11",20,"4A","2B, 54cm",395,14285,33,3,4,0,0,0,0,3,0,0,2,0,0,3,4,0,52,12,5194.54545454545,"2B",54,532,14684.5,14365.7,14958.1,38
"12",22,"4A","2B 86cm",427,14285,42,4,2,0,0,0,0,0,0,3,0,0,0,0,2,0,53,6,2040.71428571429,"2B",86,564,15696,15418,15977.05,33.5
"13",91,"4A","3L 2cm",443,14285,112,15,16,0,0,0,0,1,0,0,1,0,0,0,11,0,156,33,4208.97321428571,"3L",2,581,16077,15762.9,16438.05,18
"14",23,"4A","3L 10cm",451,14285,87,3,5,0,0,0,0,1,0,0,0,0,0,1,4,0,101,9,1477.75862068966,"3L",10,589,16321,15939.95,16707.3,34.5000000000018
"15",12,"4A","3L 34",475,14285,40,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,47,6,2142.75,"3L",34,613,16797,16363.9,17162.1,15.5
"16",13,"4A","3L 50",491,14285,82,0,14,0,0,0,0,1,0,0,1,0,0,0,4,0,102,16,2787.31707317073,"3L",50,629,17100.5,16721.75,17318,19.5
"17",14,"4A","3L 66cm",507,14285,86,8,23,0,0,0,0,4,0,0,2,0,0,0,11,0,134,37,6145.87209302326,"3L",66,645,17650.5,17416.95,17974.05,23.5
"18",15,"4A","3L 82cm",532,14285,66,5,12,0,0,0,0,2,0,0,2,0,0,0,0,0,87,21,4545.22727272727,"3L",91,670,18019,17650.95,18403.2,14.5
"19",16,"4A","3L 90",531,14285,19,1,6,0,0,0,0,0,0,0,1,0,0,1,0,0,28,8,6014.73684210526,"3L",90,669,18004.5,17636.95,18391.05,17
"20",24,"4A","4L 6cm",547,14285,86,2,9,0,0,1,0,2,0,0,2,0,0,0,3,0,105,16,2657.67441860465,"4L",6,685,18381,17961.9,18732.05,17
"21",25,"4A","4L 22cm",563,41696,267,7,25,0,0,2,0,3,0,0,0,0,0,0,17,0,321,37,5778.09737827715,"4L",22,701,18630,18284.9,18887.15,16.5
"22",26,"4A","4L 38cm",579,41696,159,10,47,0,0,2,0,4,0,0,3,0,0,0,12,0,237,66,17307.7735849057,"4L",38,717,19025.5,18795,19511.05,59.5
"23",27,"4A",NA,595,41696,31,6,17,0,0,2,0,3,1,0,1,0,0,5,3,0,69,29,39005.935483871,"4L",54,733,19690.5,19132.8,20535.05,43
