"","core","depth_core","volume","charCount","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate","CHAR"
"1","7A",4,1,74,"1B",4,4,7.5,-49,194.1,15.5,4.7741935483871
"2","7A",8,1,81,"1B",8,8,64,-34.05,295.05,15,5.4
"3","7A",12,1,224,"1B",12,12,116.5,-20,375,12.5,17.92
"4","7A",16,1,319,"1B",16,16,171.5,-3.05,447.05,13,24.5384615384615
"5","7A",20,1,400,"1B",20,20,226,14.95,516.2,15,26.6666666666667
"6","7A",24,1,755,"1B",24,24,279,38,583.15,14.5,52.0689655172414
"7","7A",28,1,235,"1B",28,28,324,65,653.2,9.5,24.7368421052632
"8","7A",32,1,97,"1B",32,32,374.5,91,721.05,12.5,7.76
"9","7A",36,1,168,"1B",36,36,427.5,135,762.05,13.5,12.4444444444444
"10","7A",40,1,275,"1B",40,40,476.5,171.7,804,14.5,18.9655172413793
"11","7A",44,1,167,"1B",44,44,523,214.95,877.05,7,23.8571428571429
"12","7A",48,1,124,"1B",48,48,570.5,259.85,911.1,10.5,11.8095238095238
"13","7A",52,1,106,"1B",52,52,619,309.8,948.05,10.5,10.0952380952381
"14","7A",56,1,256,"1B",56,56,671,343.95,989.05,12.5,20.48
"15","7A",60,1,129,"1B",60,60,718,393,1020.1,11.5,11.2173913043478
"16","7A",64,1,114,"1B",64,64,769.5,439.95,1051.1,12.5,9.12
"17","7A",68,1,154,"1B",68,68,825.5,475.95,1088,12,12.8333333333333
"18","7A",72,1,185,"1B",72,72,874,517.9,1121.05,12,15.4166666666667
"19","7A",76,1,150,"1B",76,76,922,607.9,1146,11,13.6363636363636
"20","7A",80,1,258,"1B",80,80,971.5,662.95,1168.15,13.5,19.1111111111111
"21","7A",88,1,240,"1B",88,88,1073,817,1213,11.5,20.8695652173913
"22","7A",92,1,267,"1B",92,92,1124,885.8,1232,13,20.5384615384615
"23","7A",96,1,87,"1B",96,96,1174,1005.95,1250.05,12,7.25
"24","7A",100,1,113,"1B",100,100,1273,1200,1448.15,38,2.97368421052632
"25","7A",104,1,56,"1B",104,104,1362,1235,1724.2,22.5,2.48888888888889
"26","7A",108,1,51,"1B",108,108,1458,1263,1870.15,22,2.31818181818182
"27","7A",112,1,83,"1B",112,112,1543.5,1284.95,2033.3,22,3.77272727272727
"28","7A",116,1,56,"1B",116,116,1627.5,1316,2145,20,2.8
"29","7A",120,1,54,"1B",120,120,1713.5,1344.95,2246.1,21,2.57142857142857
"30","7A",124,1,26,"1B",124,124,1799,1393.5,2332.05,20,1.3
"31","7A",128,1,56,"1B",128,128,1889.5,1436.6,2438.1,22.5,2.48888888888889
"32","7A",132,1,94,"1B",132,132,1964,1500.95,2535.25,23.5,4
"33","7A",136,1,31,"1B",136,136,2063,1548.9,2604.05,26,1.19230769230769
"34","7A",140,1,89,"1B",140,140,2147,1617.9,2696.2,22,4.04545454545455
"35","7A",144,1,104,"1B",144,144,2233.5,1684.6,2753.55,22.5,4.62222222222222
"36","7A",148,1,45,"1B",148,148,2317,1757.95,2815.05,15,3
"37","7A",152,1,77,"2B",2,152,2397,1836.9,2889,21,3.66666666666667
"38","7A",156,1,39,"2B",6,156,2489,1916.8,2959.05,23,1.69565217391304
"39","7A",160,1,33,"2B",10,160,2583,1987.95,3025.1,28,1.17857142857143
"40","7A",164,1,33,"2B",14,164,2662.5,2059,3100.05,19,1.73684210526316
"41","7A",168,1,84,"2B",18,168,2738,2129.85,3150.05,18.5,4.54054054054054
"42","7A",172,1,47,"2B",22,172,2814.5,2218.95,3206.05,16,2.9375
"43","7A",176,1,47,"2B",26,176,2906.5,2352,3256.1,29.5,1.59322033898305
"44","7A",180,1,75,"2B",30,180,2996,2453.95,3293.05,25,3
"45","7A",184,1,52,"2B",34,184,3082.5,2584.95,3330,21,2.47619047619048
"46","7A",188,1,34,"2B",38,188,3163,2691.65,3359,19,1.78947368421053
"47","7A",192,1,78,"2B",42,192,3253,2834,3384,22,3.54545454545455
"48","7A",196,1,52,"2B",46,196,3345,3054.85,3415,23.5,2.21276595744681
"49","7A",200,1,97,"2B",50,200,3457.5,3414,3661,37.5,2.58666666666667
"50","7A",204,1,71,"2B",54,204,3575.5,3443,3963.5,29.5,2.40677966101695
"51","7A",208,1,60,"2B",58,208,3672,3469,4172.05,24,2.5
"52","7A",212,1,70,"2B",62,212,3766,3499,4337,25,2.8
"53","7A",216,1,39,"2B",66,216,3865,3527.95,4470,20,1.95
"54","7A",220,1,65,"2B",70,220,3960.5,3559,4574.4,19.5,3.33333333333333
"55","7A",224,1,32,"2B",74,224,4057,3605,4693.15,22.0000000000005,1.45454545454542
