"","core","depth_core","pctOrg","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate"
"1","7A",4,53.6,"1B",4,4,7.5,-49,194.1,15.5
"2","7A",8,43.02,"1B",8,8,64,-34.05,295.05,15
"3","7A",12,36.71,"1B",12,12,116.5,-20,375,12.5
"4","7A",16,32.52,"1B",16,16,171.5,-3.05,447.05,13
"5","7A",20,31.43,"1B",20,20,226,14.95,516.2,15
"6","7A",24,27.33,"1B",24,24,279,38,583.15,14.5
"7","7A",28,23.63,"1B",28,28,324,65,653.2,9.5
"8","7A",32,21.63,"1B",32,32,374.5,91,721.05,12.5
"9","7A",36,20.37,"1B",36,36,427.5,135,762.05,13.5
"10","7A",40,20.22,"1B",40,40,476.5,171.7,804,14.5
"11","7A",44,19.51,"1B",44,44,523,214.95,877.05,7
"12","7A",48,19.87,"1B",48,48,570.5,259.85,911.1,10.5
"13","7A",52,19.62,"1B",52,52,619,309.8,948.05,10.5
"14","7A",56,19.07,"1B",56,56,671,343.95,989.05,12.5
"15","7A",60,18.79,"1B",60,60,718,393,1020.1,11.5
"16","7A",64,19.28,"1B",64,64,769.5,439.95,1051.1,12.5
"17","7A",68,19.18,"1B",68,68,825.5,475.95,1088,12
"18","7A",72,20.21,"1B",72,72,874,517.9,1121.05,12
"19","7A",76,21.89,"1B",76,76,922,607.9,1146,11
"20","7A",80,20.32,"1B",80,80,971.5,662.95,1168.15,13.5
"21","7A",84,20.21,"1B",84,84,1024.5,734.95,1192,12.5
"22","7A",88,20.28,"1B",88,88,1073,817,1213,11.5
"23","7A",92,19.39,"1B",92,92,1124,885.8,1232,13
"24","7A",96,18.74,"1B",96,96,1174,1005.95,1250.05,12
"25","7A",100,18.4,"1B",100,100,1273,1200,1448.15,38
"26","7A",104,17.1,"1B",104,104,1362,1235,1724.2,22.5
"27","7A",108,14.81,"1B",108,108,1458,1263,1870.15,22
"28","7A",112,14.71,"1B",112,112,1543.5,1284.95,2033.3,22
"29","7A",116,14.63,"1B",116,116,1627.5,1316,2145,20
"30","7A",120,15.41,"1B",120,120,1713.5,1344.95,2246.1,21
"31","7A",124,15.45,"1B",124,124,1799,1393.5,2332.05,20
"32","7A",128,13.94,"1B",128,128,1889.5,1436.6,2438.1,22.5
"33","7A",132,15.55,"1B",132,132,1964,1500.95,2535.25,23.5
"34","7A",136,14.91,"1B",136,136,2063,1548.9,2604.05,26
"35","7A",140,14.68,"1B",140,140,2147,1617.9,2696.2,22
"36","7A",144,14.09,"1B",144,144,2233.5,1684.6,2753.55,22.5
"37","7A",148,14.5,"1B",148,148,2317,1757.95,2815.05,15
"38","7A",152,15.27,"2B",2,152,2397,1836.9,2889,21
"39","7A",156,14.49,"2B",6,156,2489,1916.8,2959.05,23
"40","7A",160,14.34,"2B",10,160,2583,1987.95,3025.1,28
"41","7A",164,13.36,"2B",14,164,2662.5,2059,3100.05,19
"42","7A",168,12.72,"2B",18,168,2738,2129.85,3150.05,18.5
"43","7A",172,12.42,"2B",22,172,2814.5,2218.95,3206.05,16
"44","7A",176,13.24,"2B",26,176,2906.5,2352,3256.1,29.5
"45","7A",180,13.05,"2B",30,180,2996,2453.95,3293.05,25
"46","7A",184,12.67,"2B",34,184,3082.5,2584.95,3330,21
"47","7A",188,12.28,"2B",38,188,3163,2691.65,3359,19
"48","7A",196,11.3,"2B",46,196,3345,3054.85,3415,23.5
"49","7A",200,11.26,"2B",50,200,3457.5,3414,3661,37.5
"50","7A",204,11.58,"2B",54,204,3575.5,3443,3963.5,29.5
"51","7A",208,11.79,"2B",58,208,3672,3469,4172.05,24
"52","7A",212,13.99,"2B",62,212,3766,3499,4337,25
"53","7A",216,12.2,"2B",66,216,3865,3527.95,4470,20
"54","7A",220,11.2,"2B",70,220,3960.5,3559,4574.4,19.5
"55","7A",224,11.95,"2B",74,224,4057,3605,4693.15,22.0000000000005
"56","7A",228,12.89,"2B",78,228,4154,3648.9,4796,25.5
"57","7A",232,14.91,"2B",82,232,4247.5,3705.95,4896.05,25
"58","7A",236,11.33,"2B",86,236,4356,3771.65,5008.2,23.5
"59","7A",240,11.2,"2B",90,240,4444,3831.75,5117.25,18
"60","7A",248,11.67,"2B",98,248,4631.5,3999.9,5280.1,30
"61","7A",252,11.59,"2B",102,252,4741,4111.25,5387.1,13
"62","7A",256,12.96,"2B",106,256,4838,4200.65,5459.05,20.5
"63","7A",260,11.64,"2B",110,260,4935.5,4270.95,5530.2,27.5
"64","7A",263,11.61,"2B",113,263,5000.5,4334.85,5577.15,24
"65","7A",268,9.33,"2B",118,268,5124,4461.95,5644,28.5
"66","7A",272,9.73,"2B",122,272,5216,4542.8,5694.1,24
"67","7A",276,10.33,"2B",126,276,5302,4654.95,5736,19.5
"68","7A",280,10.76,"2B",130,280,5411,4791.65,5779,25
"69","7A",284,10.63,"2B",134,284,5501.5,4920,5821.05,21
"70","7A",288,9.81,"2B",138,288,5606,5076.95,5855,26.5
"71","7A",292,9.63,"2B",142,292,5710,5243.85,5887,26
"72","7A",296,9.81,"2B",146,296,5825.5,5484.65,5912.05,32.5
"73","7A",300,10.34,"3B",0,300,5991,5931,6421.05,67
"74","7A",304,11.69,"3B",4,304,6218,5983.95,7056.25,55
"75","7A",308,11.35,"3B",8,308,6408,6035,7448.25,38
"76","7A",312,12.44,"3B",12,312,6604,6086,7737.3,50.5
"77","7A",316,12.73,"3B",16,316,6799,6135.95,7933.1,47
"78","7A",320,11.71,"3B",20,320,6959,6192,8109.6,44.5
"79","7A",324,11.8,"3B",24,324,7136,6302.8,8299.45,50.5
"80","7A",328,11.3,"3B",28,328,7325.5,6394.9,8497.1,49.5
"81","7A",332,12.26,"3B",32,332,7517,6494.95,8702.25,49
"82","7A",336,12.61,"3B",36,336,7695.5,6604.9,8877.15,48
"83","7A",340,12.83,"3B",40,340,7862,6700.4,9047.65,48.5
"84","7A",344,13.57,"3B",44,344,8054.5,6854.85,9225,50
"85","7A",348,14.1,"3B",48,348,8246,6957.9,9396.65,38
"86","7A",352,17.03,"3B",52,352,8416,7106.95,9562.05,41
"87","7A",356,18.79,"3B",56,356,8572.5,7260.85,9707,40.5
"88","7A",360,20.48,"3B",60,360,8750,7411.8,9829,54.5
"89","7A",364,21.23,"3B",64,364,8916,7608.5,9927.05,40.5
"90","7A",368,22.22,"3B",68,368,9088.5,7814.45,10004.05,43.5
"91","7A",372,24.67,"3B",72,372,9257,8032.85,10105.15,39.5
"92","7A",376,29.8,"3B",76,376,9431.5,8282.75,10221.05,48
"93","7A",380,36.86,"3B",80,380,9616,8542.75,10308.45,61
"94","7A",388,24.65,"3B",88,388,9975,9057.55,10437.1,41.5
"95","7A",392,20.61,"3B",92,392,10170,9382.9,10480.15,54.5
"96","7A",396,20.91,"3B",96,396,10370,9773,10529,52
"97","7A",400,20.65,"3B",100,400,10626.5,10534.95,11006.4,86.5
"98","7A",404,18.16,"3B",104,404,10908,10647.9,11472.05,70.5
"99","7A",408,18.4,"3B",108,408,11195,10769.85,11659.05,69
"100","7A",412,18.81,"3B",112,412,11471,10950.85,11791.1,67
"101","7A",416,19.09,"3B",116,416,11753.5,11268.85,11905.1,74.5
"102","7A",424,10.61,"3B",124,424,12059,11909,12353.25,18
"103","4A",288,10.49207673,"1B",97,425,12079.5,11919,12388.25,20.5
"104","4A",289,10.54294176,"1B",98,426,12097,11927,12418.05,17.5
"105","4A",290,11.56158736,"1B",99,427,12115,11935.9,12449,18
"106","4A",291,12.27883935,"1B",100,428,12131,11945,12465.15,16
"107","4A",292,12.79882908,"1B",101,429,12149.5,11952.95,12487,18.5
"108","4A",293,13.06608521,"1B",102,430,12169.5,11960,12519,20
"109","4A",294,13.05409467,"1B",103,431,12188,11967.95,12542.2,18.5
"110","4A",295,13.41394294,"1B",104,432,12204,11980.85,12567.05,16
"111","4A",296,13.60597719,"1B",105,433,12221,11990.85,12580.1,17
"112","4A",297,13.48595614,"1B",106,434,12236,12000.95,12596.1,15
"113","4A",298,13.4583256,"1B",107,435,12254.5,12007.9,12608.05,18.5
"114","4A",299,13.81381381,"1B",108,436,12270.5,12016.95,12629.25,16
"115","4A",300,13.70519456,"1B",109,437,12290,12025.95,12650.05,19.5
"116","4A",301,13.28980623,"1B",110,438,12303,12036.9,12673.35,13
"117","4A",302,13.60918441,"1B",111,439,12324,12042.85,12692,21
"118","4A",303,13.82318728,"1B",112,440,12341.5,12058.65,12709,17.5
"119","4A",304,14.00761744,"1B",113,441,12360,12075.95,12719.3,18.5
"120","4A",305,13.30515298,"1B",114,442,12378,12090.9,12736,18
"121","4A",306,13.49240781,"1B",115,443,12400,12099.95,12750.05,22
"122","4A",307,13.83622428,"1B",116,444,12419.5,12113.95,12759.1,19.5
"123","4A",308,13.88835969,"1B",117,445,12438,12123.95,12768,18.5
"124","4A",309,13.86563202,"1B",118,446,12457,12141.85,12784.05,19
"125","4A",310,13.72098954,"1B",119,447,12474.5,12153.95,12793.1,17.5
"126","4A",311,13.59815048,"1B",120,448,12493,12163.95,12804.15,18.5
"127","4A",312,14.46912574,"1B",121,449,12508,12176.75,12821.05,15
"128","4A",314,15.25974026,"1B",123,451,12540,12203,12842.05,14
"129","4A",315,16.12834225,"1B",124,452,12554,12215.95,12852.05,14
"130","4A",316,16.8161435,"1B",125,453,12574,12229,12868.05,20
"131","4A",317,15.87181428,"1B",126,454,12591,12246.75,12876.1,17
"132","4A",318,18.00364631,"1B",127,455,12610,12266,12885.1,19
"133","4A",319,18.26026119,"1B",128,456,12627.5,12292.9,12893.1,17.5
"134","4A",320,17.42482652,"1B",129,457,12651,12313.8,12908.05,23.5
"135","4A",321,18.50199577,"1B",130,458,12665.5,12333.95,12921,14.5
"136","4A",322,17.77832879,"1B",131,459,12685.5,12352.5,12931.05,20
"137","4A",323,18.28916295,"1B",132,460,12708.5,12383,12941.1,23
"138","4A",324,19.93218697,"1B",133,461,12727,12407,12953.05,18.5
"139","4A",325,23.25338895,"1B",134,462,12745,12425,12963,18
"140","4A",326,22.73635153,"1B",135,463,12763.5,12446.9,12975.05,18.5
"141","4A",327,23.72327044,"1B",136,464,12782,12472.9,12985.05,18.5
"142","4A",328,24.05518896,"1B",137,465,12800,12508.95,13002,18
"143","4A",330,36.61862096,"1B",139,467,12841,12583,13028,22
"144","4A",331,46.17314931,"1B",140,468,12866,12646,13051.05,25
"145","4A",332,40.74889868,"1B",141,469,12908,12718.95,13087,42
"146","4A",333,38.01576263,"1B",142,470,12960,12770.9,13196,52
"147","4A",344,28.66607774,"2B",3,481,13232.5,12941,13606.15,23
"148","4A",345,28.32778702,"2B",4,482,13254,12958.85,13635.05,21.5
"149","4A",346,29.79238754,"2B",5,483,13273,12972,13653,19
"150","4A",347,29.2503864,"2B",6,484,13298.5,12999.65,13668.05,25.5
"151","4A",349,29.24901186,"2B",8,486,13342,13030.9,13706.3,22
"152","4A",350,27.64730119,"2B",9,487,13365.5,13038.95,13727.25,23.5
"153","4A",351,28.74845105,"2B",10,488,13388,13049,13747.15,22.5
"154","4A",352,27.14730752,"2B",11,489,13416,13062.8,13763.15,28
"155","4A",353,23.52716144,"2B",12,490,13436.5,13082.8,13779.15,20.5
"156","4A",354,22.81770199,"2B",13,491,13461,13095.95,13797.05,24.5
"157","4A",355,21.98784412,"2B",14,492,13485,13110.8,13808.05,24
"158","4A",356,23.65376945,"2B",15,493,13505.5,13123.95,13820.05,20.5
"159","4A",357,24.76021314,"2B",16,494,13527,13149.9,13832,21.5
"160","4A",358,24.57446809,"2B",17,495,13548.5,13170,13847,21.5
"161","4A",359,27.30375427,"2B",18,496,13569,13195.9,13859.1,20.5
"162","4A",360,28.55822551,"2B",19,497,13591,13220.9,13875.2,22
"163","4A",361,28.07017544,"2B",20,498,13614.5,13242.9,13891.15,23.5
"164","4A",362,26.49239173,"2B",21,499,13637,13250.95,13902.05,22.5
"165","4A",363,29.4143167,"2B",22,500,13661,13280,13911.05,24
"166","4A",364,34.15398389,"2B",23,501,13680,13312.95,13929,19
"167","4A",365,34.72285845,"2B",24,502,13706,13351.7,13941,26
"168","4A",366,33.68674699,"2B",25,503,13730,13370.85,13953.05,24
"169","4A",367,28.02779616,"2B",26,504,13754,13396.95,13974,24
"170","4A",368,31.09525808,"2B",27,505,13778,13428.85,13993.05,24
"171","4A",369,28.01587302,"2B",28,506,13801,13477.85,14006,23
"172","4A",370,32.2467986,"2B",29,507,13827,13515.75,14025,26
"173","4A",371,35.50561798,"2B",30,508,13858.5,13571.55,14052,31.5
"174","4A",372,36.21713316,"2B",31,509,13892.5,13653.75,14076,34
"175","4A",373,33.06155728,"2B",32,510,13944,13770.95,14118,51.5
"176","4A",374,32.3542306,"2B",33,511,13987,13803.95,14187,43
"177","4A",375,32.23214286,"2B",34,512,14021.5,13830,14234.2,34.5
"178","4A",376,31.84713376,"2B",35,513,14052,13856.95,14283.05,30.5
"179","4A",377,30.94555874,"2B",36,514,14079,13872,14312.2,27
"180","4A",378,31.8975553,"2B",37,515,14106.5,13888.95,14346.15,27.5
"181","4A",379,31.36992414,"2B",38,516,14129,13906,14387.05,22.5
"182","4A",380,32.35527359,"2B",39,517,14155,13925.7,14406,26
"183","4A",381,30.29808085,"2B",40,518,14179,13939,14433.05,24
"184","4A",382,30.49978642,"2B",41,519,14200.5,13951.95,14472.3,21.5
"185","4A",383,27.56559283,"2B",42,520,14222.5,13970.9,14508.05,22
"186","4A",384,27.40458015,"2B",43,521,14245.5,13991.95,14544.1,23
"187","4A",385,31.98090692,"2B",44,522,14274,14019.85,14584.1,28.5
"188","4A",386,31.47810219,"2B",45,523,14306,14037.9,14624,32
"189","4A",387,40.40066778,"2B",46,524,14341,14060.8,14664.05,35
"190","4A",388,39.74181651,"2B",47,525,14401,14109.75,14722.3,60
"191","4A",389,36.46464646,"2B",48,526,14456,14162,14766.15,55
"192","4A",390,28.85208012,"2B",49,527,14496.5,14197.95,14804.35,40.5
"193","4A",391,27.18828153,"2B",50,528,14536,14227.7,14836,39.5
"194","4A",392,25.12019231,"2B",51,529,14574,14263.95,14866.15,38
"195","4A",393,23.51118761,"2B",52,530,14610,14300.8,14896.25,36
"196","4A",394,24.10885397,"2B",53,531,14646.5,14325,14929,36.5
"197","4A",395,20.10495244,"2B",54,532,14684.5,14365.7,14958.1,38
"198","4A",396,17.04256093,"2B",55,533,14724,14391,14985.45,39.5
"199","4A",397,12.15787147,"2B",56,534,14772,14433.95,15023.05,48
"200","4A",401,14.45384332,"2B",60,538,14902.5,14633.9,15145.1,20.5
"201","4A",405,20.24505709,"2B",64,542,14979.5,14718.85,15200,21
"202","4A",409,22.42961088,"2B",68,546,15043,14808.95,15252.15,13
"203","4A",413,23.78143434,"2B",72,550,15126,14913,15330,23
"204","4A",417,21.65354331,"2B",76,554,15293,15073.9,15521.2,40.5
"205","4A",421,31.42076503,"2B",80,558,15444,15186,15702.15,42.5
"206","4A",425,27.55702723,"2B",84,562,15626,15368,15907.05,35
"207","4A",429,36.31739573,"2B",88,566,15768,15467.95,16059.05,38.5
"208","4A",433,34.29097606,"2B",92,570,15905,15599.9,16241.3,19
"209","4A",437,33.98379971,"2B",96,574,15970.5,15669.9,16322.2,18
"210","4A",441,34.27230047,"2B",100,578,16030,15723,16395,15.0000000000018
"211","4A",441,34.27230047,"3L",0,579,16043,15737.95,16404,12.9999999999982
"212","4A",445,38.66153105,"3L",4,583,16113.5,15790,16470.1,16
"213","4A",449,37.37802291,"3L",8,587,16225,15860.8,16621,42.5000000000018
"214","4A",453,31.75416133,"3L",12,591,16369.5,15987.9,16779.15,21.5000000000018
"215","4A",457,23.90852391,"3L",16,595,16458,16065.85,16855.05,17
"216","4A",461,16.74800925,"3L",20,599,16531.5,16127.9,16935.2,17
"217","4A",465,12.40574506,"3L",24,603,16610,16197.65,17002.05,19
"218","4A",469,12.00676437,"3L",28,607,16691.5,16281.75,17063.2,22.5
"219","4A",473,13.24200913,"3L",32,611,16759,16330.9,17129.25,20
"220","4A",477,12.63925461,"3L",36,615,16834,16404.95,17195,20
"221","4A",481,14.93521255,"3L",40,619,16907,16474.7,17229.1,17.5
"222","4A",485,17.17818503,"3L",44,623,16986.5,16588.6,17266.05,21.5
"223","4A",489,18.00214823,"3L",48,627,17062,16672,17301.1,18.5
"224","4A",501,22.99075889,"3L",60,639,17351,17166.95,17425.05,38
