"","core","drive","depth_core","totalHolDepth","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate"
"1","7A","1B",0,0,0,-62,-74,-41,0
"2","7A","1B",1,1,1,-41,-64,71,21
"3","7A","1B",2,2,2,-25,-59,133.05,16
"4","7A","1B",3,3,3,-8,-54,172,17
"5","7A","1B",4,4,4,7.5,-49,194.1,15.5
"6","7A","1B",5,5,5,23,-45,220,15.5
"7","7A","1B",6,6,6,36.5,-41,245.1,13.5
"8","7A","1B",7,7,7,49,-38,268.2,12.5
"9","7A","1B",8,8,8,64,-34.05,295.05,15
"10","7A","1B",9,9,9,79.5,-31,315.1,15.5
"11","7A","1B",10,10,10,93,-27,339.1,13.5
"12","7A","1B",11,11,11,104,-24,361.05,11
"13","7A","1B",12,12,12,116.5,-20,375,12.5
"14","7A","1B",13,13,13,132.5,-16,391,16
"15","7A","1B",14,14,14,145.5,-12,410,13
"16","7A","1B",15,15,15,158.5,-9,432.05,13
"17","7A","1B",16,16,16,171.5,-3.05,447.05,13
"18","7A","1B",17,17,17,187,0.950000000000003,466,15.5
"19","7A","1B",18,18,18,199,6,493.05,12
"20","7A","1B",19,19,19,211,9.95,506,12
"21","7A","1B",20,20,20,226,14.95,516.2,15
"22","7A","1B",21,21,21,238,18.95,535.1,12
"23","7A","1B",22,22,22,250.5,23.95,549.35,12.5
"24","7A","1B",23,23,23,264.5,30.95,568.15,14
"25","7A","1B",24,24,24,279,38,583.15,14.5
"26","7A","1B",25,25,25,289,44.9,595.1,10
"27","7A","1B",26,26,26,301,51.95,613.35,12
"28","7A","1B",27,27,27,314.5,59.9,633.25,13.5
"29","7A","1B",28,28,28,324,65,653.2,9.5
"30","7A","1B",29,29,29,335.5,72.95,675.05,11.5
"31","7A","1B",30,30,30,349,76.95,686.05,13.5
"32","7A","1B",31,31,31,362,84,703.1,13
"33","7A","1B",32,32,32,374.5,91,721.05,12.5
"34","7A","1B",33,33,33,383,98.95,727.2,8.5
"35","7A","1B",34,34,34,395.5,117,735.15,12.5
"36","7A","1B",35,35,35,414,124.75,749.2,18.5
"37","7A","1B",36,36,36,427.5,135,762.05,13.5
"38","7A","1B",37,37,37,439,145.85,770.15,11.5
"39","7A","1B",38,38,38,451.5,151,783,12.5
"40","7A","1B",39,39,39,462,160,792,10.5
"41","7A","1B",40,40,40,476.5,171.7,804,14.5
"42","7A","1B",41,41,41,489,180.9,813.1,12.5
"43","7A","1B",42,42,42,499.5,188.9,838.05,10.5
"44","7A","1B",43,43,43,516,198.95,858.549999999999,16.5
"45","7A","1B",44,44,44,523,214.95,877.05,7
"46","7A","1B",45,45,45,537,222,886.1,14
"47","7A","1B",46,46,46,546.5,237.85,892.1,9.5
"48","7A","1B",47,47,47,560,252,904,13.5
"49","7A","1B",48,48,48,570.5,259.85,911.1,10.5
"50","7A","1B",49,49,49,583,276.5,922,12.5
