"","depth_core","median_age","Delitschia","Sporormiella","Podospora","Sordaria","Lycopodium","Tracer_Added","OCFS_total","OCFS_conc","total_counted","best_estimate","Q2.5","Q5","Q25","Q50","Q75","Q95","Q97.5"
"1",20,226,0,0,1,1,116,14285,2,246.293103448276,118,246.293103448275,62.9478843681864,107.323731517454,225.7444760293,365.234729944146,530.420699633716,778.382387177611,781.02232717523
"2",52,619,0,0,0,0,167,14285,0,0,167,NA,NA,NA,NA,NA,NA,NA,NA
"3",84,1024.5,0,0,0,1,192,14285,1,74.4010416666667,193,74.4010416666656,60.7273985058418,61.9884486327646,77.1409201616189,114.239508934086,220.254376345547,356.432083254727,364.883112953068
"4",116,1627.5,0,0,0,0,75,14285,0,0,75,NA,NA,NA,NA,NA,NA,NA,NA
"5",148,2317,0,1,0,0,58,14285,1,246.293103448276,59,246.293103448275,76.573875771981,134.799292160128,243.834412033902,561.899982548668,915.188999333186,1398.63103899787,1446.81033019486
"6",180,2996,0,2,0,0,91,14285,2,313.956043956044,93,313.956043956043,97.16333078756,165.586015672423,329.745298622176,461.989735333482,669.755162764806,916.00857557659,1065.85967133846
"7",392,10170,0,0,0,0,54,14285,0,0,54,NA,NA,NA,NA,NA,NA,NA,NA
"8",408,11195,0,0,0,0,46,14285,0,0,46,NA,NA,NA,NA,NA,NA,NA,NA
"9",424,12059,0,0,0,0,42,14285,0,0,42,NA,NA,NA,NA,NA,NA,NA,NA
"10",291,12131,0,0,1,0,60,14285,1,238.083333333333,61,238.083333333332,119.818695097318,127.707292365551,260.337147393147,360.835644492181,716.733550055651,1195.63636082277,1335.57006885851
"11",307,12419.5,0,0,0,0,95,14285,0,0,95,NA,NA,NA,NA,NA,NA,NA,NA
"12",323,12708.5,0,0,0,1,47,14285,1,303.936170212766,48,303.936170212768,127.355805243982,158.891351849935,335.3900142567,586.573259018944,980.768304894911,1733.79176641763,2002.39367623887
"13",331,12866,1,3,0,0,71,14285,4,804.788732394366,75,804.788732394365,296.201016900991,340.658960119961,714.711193902825,971.935158245615,1510.3343852571,2196.10777755612,2488.0757353018
"14",347,13298.5,0,1,0,0,67,14285,1,213.208955223881,68,213.208955223881,95.5967616572976,103.76742259746,194.677018938353,382.219879242592,561.156117110164,773.861548038944,902.547186451801
"15",363,13661,1,6,0,2,47,14285,9,2735.42553191489,56,2735.42553191489,1436.90736667627,1573.48977247899,2378.14838374499,3125.87981663365,3870.96416121186,5318.69826955438,5861.55782254276
"16",379,14129,1,6,0,2,37,14285,9,3474.72972972973,46,3474.72972972973,1429.85576274276,2225.86559059689,3018.99396569154,3628.37519915006,4620.0956846638,6649.63816024085,7662.79506808575
"17",395,14684.5,3,4,0,3,33,14285,10,4328.78787878788,43,4328.78787878788,2281.46706887371,2640.33500929461,3811.34843798517,4842.43844352523,6260.7491729313,8488.3051738854,9117.28331920261
"18",427,15696,4,2,0,0,42,14285,6,2040.71428571429,48,2040.71428571428,831.372512325266,979.858125511673,1814.60457618587,2264.90039368579,2861.36065164447,4539.79960265727,5131.42363400641
"19",443,16077,15,16,0,1,112,14285,32,4081.42857142857,144,4081.42857142857,2735.26248433955,2988.45020966982,3705.65549333364,4252.92374764639,4785.62015613914,5671.00506718133,5964.54878694416
"20",451,16321,3,5,0,1,87,14285,9,1477.75862068966,96,1477.75862068965,833.173791646957,890.704213493387,1256.72050993203,1577.06319584092,2056.58764962223,2813.01141896038,2899.65463373991
"21",475,16797,2,3,0,1,40,14285,6,2142.75,46,2142.75,987.821634264628,1074.46593346687,1785.89871215844,2466.93297189125,3249.81722824916,4439.44230873696,4999.96616781698
"22",491,17100.5,0,14,0,1,82,14285,15,2613.10975609756,97,2613.10975609756,1415.56087919214,1559.26675610128,2190.51853507839,2731.96122663561,3257.42278880125,4165.05290064344,4481.95207818429
"23",507,17650.5,8,23,0,4,86,14285,35,5813.66279069767,121,5813.66279069768,4216.00859763025,4442.68488781387,5511.07950464753,6123.4270172948,6819.65247516416,8367.97651355504,8587.813664691
"24",532,18019,5,12,0,2,66,14285,19,4112.34848484848,85,4112.34848484848,2659.30399671016,2834.48313907606,3721.60819680069,4383.70240365178,5292.33206878591,6443.73158732313,6792.30683224726
"25",531,18004.5,1,6,0,0,19,14285,7,5262.8947368421,26,5262.89473684211,2736.58151752199,3151.45052473154,4491.19579449249,6109.34774772171,8056.54848752124,12405.508651796,13812.5960476415
"26",547,18381,2,9,1,2,86,14285,14,2325.46511627907,100,2325.46511627907,1408.17421119417,1517.37811550775,2050.53125055484,2450.3628951665,2938.89292994561,3824.70311877234,4001.53835298498
"27",563,18630,7,25,2,3,267,41696,37,5778.09737827715,304,5778.09737827716,4385.82280166226,4722.26560189831,5499.97090998478,6256.28257246129,6911.44498496247,7827.34735537437,8526.39755738573
"28",579,19025.5,10,47,2,4,159,41696,63,16521.0566037736,222,16521.0566037736,12581.8043022735,13074.0723271525,14791.9194800043,16830.8780774334,18290.8503652895,20817.866508683,21372.9719914703
"29",595,19690.5,6,17,2,3,31,41696,28,37660.9032258065,59,37660.9032258064,22945.0331971964,25908.6216627386,34230.184431411,40692.4188718721,47666.8442494455,63630.5462030995,69836.3556405712
"30",611,20336.5,14,60,5,4,284,41696,83,12185.8028169014,367,12185.8028169014,9190.14630869147,9754.0481951572,11136.9887515721,12199.5752170403,13421.1349325632,14475.1237335918,15208.8153704684
"31",627,20989,7,43,2,8,226,41696,60,11069.7345132743,286,11069.7345132743,8570.53546133732,9178.04345105134,10073.4339393284,11015.3806293409,11887.6403035145,13173.2161286702,14415.2579204792
"32",635,21477.5,13,30,5,2,260,41696,50,8018.46153846154,310,8018.46153846154,6176.17940584416,6658.96034742943,7546.65171811567,8590.68397811847,9405.11413220339,10490.150393044,11136.1959387393
"33",651,21954,4,10,1,3,40,41696,18,18763.2,58,18763.2,11089.7796456791,12697.4538282961,16777.3821903157,20497.2137694916,24622.6173739004,30632.3709830616,31961.0101124496
"34",667,22753,5,28,1,4,79,41696,38,20056.3037974684,117,20056.3037974684,14246.9487686206,14747.975025943,17940.88790412,20670.5568965682,23076.2537039284,27857.1020710714,31141.6178110494
"35",683,23752,3,8,0,1,159,41696,12,3146.8679245283,171,3146.8679245283,1247.98090664926,1363.21474796331,2729.99170401448,3305.40446517197,3763.86360383744,4987.53315305836,5753.99314143582
"36",699,24379,4,5,2,0,91,41696,11,5040.17582417582,102,5040.17582417582,3021.74082279147,3414.0197347186,4158.28519790433,5141.62277805619,6412.33245937852,7755.61027870839,7920.71353064559
"37",715,25081,2,2,1,6,110,41696,11,4169.6,121,4169.6,2103.56144700572,2325.80039682882,3201.95183914388,4153.51823431021,5073.52218472376,7571.03925920408,8279.34467733307
"38",723,25286.5,0,0,0,0,68,41696,0,0,68,NA,NA,NA,NA,NA,NA,NA,NA
"39",739,25751,5,7,3,2,278,41696,17,2549.75539568345,295,2549.75539568346,1708.44355436438,1923.01106687274,2207.99525792233,2369.38273323979,2824.6351477619,3681.06080198858,3936.63294916187
"40",747,25956.5,2,20,4,3,313,41696,29,3863.20766773163,342,3863.20766773163,2886.84636332747,3049.35928330058,3700.0415791804,4056.27731991466,4610.62156641623,5326.52806557575,5704.65205816925
"41",763,26380.5,1,20,1,2,116,41696,24,8626.75862068966,140,8626.75862068965,5371.35881667011,5986.84999721972,7515.0781075554,9024.42234772723,10160.864977919,11531.1372993893,11941.3338103421
"42",779,26813.5,1,10,5,0,119,41696,16,5606.18487394958,135,5606.18487394958,3479.47776646593,3593.35878439501,4416.72116093617,5825.72973875236,6809.90775197675,8330.01939038527,9063.64625189068
"43",795,27413,3,26,4,2,166,41696,35,8791.32530120482,201,8791.32530120482,6355.81792132522,6741.32095492934,8295.88817122485,9188.27242485201,10177.3531158925,11373.762243595,11655.0392201968
"44",811,28292.5,1,11,0,3,126,41696,15,4963.80952380952,141,4963.80952380952,2961.98873159848,3075.64195930371,4626.2791506683,5624.21150663216,6402.51513499208,7764.362157465,8782.94214624015
"45",827,29095,2,7,2,0,79,41696,11,5805.77215189873,90,5805.77215189874,3484.82819449122,3863.81754633447,5124.17633515433,6365.19677673117,8500.92221233121,11036.5653208219,11389.0644325645
"46",843,29916.5,2,10,1,3,149,41696,16,4477.42281879195,165,4477.42281879194,2834.4467019171,3074.22849835212,4062.90280087997,4968.41747667559,5818.81008022168,6654.66754288752,7467.80821558819
"47",859,30703,2,7,1,1,213,41696,11,2153.31455399061,224,2153.31455399061,1231.38499980443,1264.42836168723,1839.2985907275,2461.63722164906,3077.39256239973,3852.40290045482,4051.93450380798
"48",867,31139.5,6,11,5,4,121,14285,26,3069.50413223141,147,3069.5041322314,1952.6244058195,2212.34317553835,2704.13731820718,3136.16901130043,3673.46401127451,4336.6917352621,4558.93743288913
"49",875,31589,0,2,3,1,108,41696,6,2316.44444444444,114,2316.44444444445,1470.58762676233,1564.0878296865,2065.53719238983,2714.42087579914,3578.20650753396,4876.89261638643,5272.89166869204
"50",891,32358.5,4,5,1,3,31,41696,13,17485.4193548387,44,17485.4193548387,9560.62446838903,10224.9039496947,14976.8094346357,19628.6190519361,23900.7087482037,32490.8038496803,34766.712341751
