bins,age,other,Grass,Herbs,Pinus,Quercus,cov_age,char_acc,heinrich,ocfs,mean_age_co2,mean_co2,mean_age_oxy,d18O,PrDens
309,62692.5,145,78,33,53,70,62805.3,36.6,0,NA,NA,NA,62775,-44.24625,0
308,62463,95.5,57,45,29.5,106,62612.9,41.1,0,NA,62672.72,210.56,62575,-43.94125,0
307,NA,NA,NA,NA,NA,NA,62391.642857142855,31.428571428571427,1,NA,62382.32,213.78,62375,-43.8775,0
306,62195,54,32,13,379,22,62182.9,37.125,1,NA,62239.53,215.89,62175,-43.535000000000004,0
305,61945,33,28,20,314,27,61998.4,39.6,1,NA,62026.68,217.06,61975,-43.61875,0
304,61741,41,33,21,328,49,61783.666666666664,38,1,NA,61790.6,217.24,61775,-43.78,0
303,61512.5,27.5,15,15,342.5,24,61577.9,37.9,1,NA,61572.92,221.71,61575,-43.635000000000005,0
302,61254.5,49,43,51,251,68,61386.6,34.9,1,NA,61350.48,218.87,61375,-43.1275,0
301,61058.5,30,29,33,182,52,61198.666666666664,37.583333333333336,1,NA,61148.025,219.75,61175,-43.175,0
300,NA,NA,NA,NA,NA,NA,60986.083333333336,32.916666666666664,1,NA,60941.06,226.88,60975,-43.06125,0
299,60799.5,69,27,33,186,172,60786.5,35.8,1,NA,60752.3,223.57,60775,-43.28125,0
298,NA,NA,NA,NA,NA,NA,60606.75,32.916666666666664,1,NA,60554.68,222.5,60575,-43.114999999999995,0
297,NA,NA,NA,NA,NA,NA,60402.333333333336,35.2,1,NA,NA,NA,60375,-43.0325,0
296,NA,NA,NA,NA,NA,NA,60193.7,NA,1,NA,60246.895000000004,224.94,60175,-40.480000000000004,0
295,59995,57,51,97,76,146,59980.9,42.9,1,NA,60019.524999999994,226.34,59975,-42.12125,0
294,59702.5,75,73,121,69,186,59781.75,60.625,1,NA,59708.1,230.81,59775,-39.08875,0
293,59426,58,47,93,49,103,59571.75,73.75,0,420.147058823529,59494.32,227.88,59575,-39.97,0
292,NA,NA,NA,NA,NA,NA,59395.5,65.66666666666667,0,NA,NA,NA,59375,-40.78375,0
291,NA,NA,NA,NA,NA,NA,59196.833333333336,69,0,NA,59282.3,233,59175,-42.40625,0
290,58935,32,39,155,6,109,58996.333333333336,60.5,0,NA,59075.23,229.91,58975,-40.2225,0
289,NA,NA,NA,NA,NA,NA,58789.625,62.875,0,NA,58850.66,225.19,58775,-40.04375,0
288,58514,76,69,73,49,141,58557.833333333336,65.16666666666667,0,649.318181818182,58623.78,222.29,58575,-39.0475,0
287,NA,NA,NA,NA,NA,NA,58378.666666666664,54.833333333333336,0,NA,58415.71,224.18,58375,-39.44625,0
286,58114,87,48,57,26,121,58198,60,0,NA,58183.96,222.87,58175,-39.92125,0
285,NA,NA,NA,NA,NA,NA,58008.25,54.333333333333336,0,NA,57939.95,227.81,57975,-40.5675,0
284,NA,NA,NA,NA,NA,NA,57801.666666666664,61.5,0,NA,57699.11,220.83,57775,-40.8275,0
283,NA,NA,NA,NA,NA,NA,57597.5,62,0,NA,NA,NA,57575,-40.38375,0
282,NA,NA,NA,NA,NA,NA,57380,54,0,NA,57456.47,220.94,57375,-40.9275,0
281,NA,NA,NA,NA,NA,NA,57186.375,57,0,NA,57234.25,217.54,57175,-42.16625,0
280,NA,NA,NA,NA,NA,NA,56989.5,60.5,0,NA,57026.14,215.25,56975,-42.348749999999995,0
279,NA,NA,NA,NA,NA,NA,56805.666666666664,63.833333333333336,0,NA,56822.49,210.81,56775,-42.95375,0
278,NA,NA,NA,NA,NA,NA,56604.625,49.375,0,238.083333333333,56625.92,210.4,56575,-40.52375,0
277,NA,NA,NA,NA,NA,NA,56403.333333333336,68.33333333333333,0,NA,56359.755000000005,211.225,56375,-39.45875,0
276,NA,NA,NA,NA,NA,NA,56200.666666666664,64.33333333333333,0,NA,56143.05,211.95,56175,-41.870000000000005,0
275,55987.5,50,42,99,34.5,72,56000.375,55.75,0,NA,55973.79,215.42,55975,-42.66,0
274,NA,NA,NA,NA,NA,NA,55792,57,0,NA,55790.68,216.055,55775,-40.463750000000005,0
273,NA,NA,NA,NA,NA,NA,55621,68.83333333333333,0,441.80412371134,55587.325,214.525,55575,-42.31875,0
272,55230,72,64,24,70,177,55398.5,49.375,0,NA,55373.905,213.12,55375,-42.935,0
271,NA,NA,NA,NA,NA,NA,55199.125,59.375,0,NA,55190.8,214.65,55175,-42.40875,0
270,54842.5,126,70,46,45,112,54978.333333333336,70,0,NA,54997.60666666667,217.50666666666666,54975,-39.125,0
269,NA,NA,NA,NA,NA,NA,54792.833333333336,57.833333333333336,0,176.358024691358,54799.23333333334,217.48666666666665,54775,-39.285,0
268,54516,115,108,123,39,88,54580.125,61.666666666666664,0,NA,54607.14,216.22,54575,-38.91375,0
267,NA,NA,NA,NA,NA,NA,54363,NA,0,NA,54400.84,219.08499999999998,54375,-38.815000000000005,0
266,NA,NA,NA,NA,NA,NA,54176,NA,0,NA,54206.76,220.01,54175,-38.980000000000004,0
265,NA,NA,NA,NA,NA,NA,53976.75,55,0,NA,54004.67,221.64499999999998,53975,-39.10625,0
264,53718,62,41,78,28.5,109,53775.833333333336,49,0,1123.5393258427,53789.94,220.5,53775,-39.260000000000005,0
263,NA,NA,NA,NA,NA,NA,53600.25,57.375,0,NA,53566.53,225.245,53575,-39.36750000000001,0
262,NA,NA,NA,NA,NA,NA,53368.75,55.625,0,NA,53344.88,223.71,53375,-39.58875,0
261,NA,NA,NA,NA,NA,NA,53177,48.166666666666664,0,NA,53196.88,225.37,53175,-39.286249999999995,0
260,NA,NA,NA,NA,NA,NA,52993.875,55.625,0,2520.88235294118,52978.61,225.16000000000003,52975,-39.30625,0
259,52796.5,73,67,72,37.5,146,52815.666666666664,61.666666666666664,0,NA,52697.06,223.34,52775,-39.4475,0
258,NA,NA,NA,NA,NA,NA,52592.875,57.666666666666664,0,NA,52615.67,226.78,52575,-39.61875,0
257,52377.5,63,46,35,41,111,52389.333333333336,52.5,0,NA,52399.615,221.82,52375,-39.807500000000005,0
256,NA,NA,NA,NA,NA,NA,52191,57.625,0,NA,52187.2,220.8,52175,-40.82875,0
255,51999.5,59.5,58,35,58.5,102,51980.25,52.375,0,556.558441558442,51965.46000000001,217.14499999999998,51975,-40.411249999999995,0
254,NA,NA,NA,NA,NA,NA,51762.125,53.75,0,NA,51756.25,219.67,51775,-40.573750000000004,0
253,51586.5,112,80,32,85,87,51570,56.833333333333336,0,NA,51614.55,218.94,51575,-40.42375,0
252,51242.5,88.5,67.5,39,74.5,57,51399.333333333336,80.66666666666667,0,NA,51415.13,216.1,51375,-40.448750000000004,0
251,51049.5,131,66,60,82,102,51184,87.75,0,NA,51208.11,214.97,51175,-40.37375,0
250,50838,93,66,26,82.5,76,50996.25,142,0,NA,51012.71000000001,214.6,50975,-40.56875,0
249,NA,NA,NA,NA,NA,NA,50761,146,0,NA,50830.82,211.5,50775,-40.71,0
248,NA,NA,NA,NA,NA,NA,50581.5,74.25,0,NA,50618.445,210.19,50575,-40.545,0
247,50398.5,98,104,19,97.5,80,50393.375,49.75,0,NA,50369.29,206,50375,-40.61625,0
246,NA,NA,NA,NA,NA,NA,50223.666666666664,62.833333333333336,0,414.057971014493,50154.315,208.59,50175,-40.7875,0
245,49976.5,104,84,45,64.5,92,49990.625,51.125,0,NA,50007.015,207.54000000000002,49975,-41.88,0
244,NA,NA,NA,NA,NA,NA,49810.375,46.5,0,NA,49783.845,206.73000000000002,49775,-40.3075,0
243,NA,NA,NA,NA,NA,NA,49602.833333333336,36.333333333333336,0,NA,49577.325,205.515,49575,-40.599999999999994,0
242,NA,NA,NA,NA,NA,NA,49378.7,42.5,0,NA,49442.8,204.47,49375,-40.388749999999995,0
241,49142.5,39,19,15,295,28,49187.625,43,1,NA,49197.76,202.21,49175,-41.15625,0
240,NA,NA,NA,NA,NA,NA,49018,39.5,1,NA,48967.935,202.12,48975,-42.00875,0
239,48716,65.5,21,16,279.5,26,48780.2,63.5,1,375.921052631579,48773.09,204.49,48775,-43.575,0
238,NA,NA,NA,NA,NA,NA,48568,NA,1,NA,48590.51666666667,204.16666666666666,48575,-43.1625,0
237,48303.5,73,53,43,226,83.5,48399.875,46.5,1,NA,48382.89,206.15333333333334,48375,-43.051249999999996,0
236,NA,NA,NA,NA,NA,NA,48183.7,39.75,1,NA,48193.1625,208.6775,48175,-42.61875,0
235,47849.5,41.5,43.5,31,139.5,54,47993.083333333336,37.5,1,0,47990.8075,209.83249999999998,47975,-43.1275,0
234,NA,NA,NA,NA,NA,NA,47781.875,52.625,1,NA,47819.27,210.01,47775,-42.71875,0
233,47599,74,90,79,130,144,47601.5,42.125,1,NA,47588.1,210.20999999999998,47575,-42.631249999999994,0
232,NA,NA,NA,NA,NA,NA,47404.3,42,0,NA,47359.60333333333,212.75666666666666,47375,-40.10375,0
231,47216,53.5,53,58,42.5,91,47187.625,51.375,0,NA,47149.96,216.08,47175,-38.127500000000005,0
230,NA,NA,NA,NA,NA,NA,46980,58.25,0,NA,46982.445,218.1,46975,-38.66,0
229,NA,NA,NA,NA,NA,NA,46761.1,41.75,0,NA,46811.79,219.6,46775,-38.93875,0
228,46514.5,79.5,96,69,46.5,105.5,46575.25,40.5,0,1693.5824742268,46600.28,220.10000000000002,46575,-38.911249999999995,0
227,NA,NA,NA,NA,NA,NA,46404.1,40.3,0,3105.4347826087,46378.2,223.02999999999997,46375,-39.5,0
226,NA,NA,NA,NA,NA,NA,46198.625,48.125,0,NA,46187.51,219.77499999999998,46175,-39.4875,0
225,45833.5,108.5,98,48,45.5,91.5,45977.9,43.75,0,NA,45912.13,221.68,45975,-39.92125,0
224,NA,NA,NA,NA,NA,NA,45766.125,43.125,0,NA,45738.5,218.83,45775,-40.771249999999995,0
223,NA,NA,NA,NA,NA,NA,45580.625,49.875,0,726.35593220339,45621.6,218.72,45575,-40.7025,0
222,NA,NA,NA,NA,NA,NA,45389.5,48.25,0,NA,45396.37,216.89,45375,-41.2025,0
221,45123.5,142,81,32,46,107,45188.2,45.7,0,NA,45164.25,213.41,45175,-41.08625,0
220,NA,NA,NA,NA,NA,NA,44983.25,45.625,0,NA,45045.64,213.06,44975,-40.96125,0
219,NA,NA,NA,NA,NA,NA,44781.125,50.5,0,1058.14814814815,44767.72,209.565,44775,-41.59125,0
218,NA,NA,NA,NA,NA,NA,44587.4,34.9,0,NA,44492.93,211.07,44575,-42.96375,0
217,NA,NA,NA,NA,NA,NA,44405,41.3,0,NA,44383.93,206.04,44375,-42.7125,0
216,NA,NA,NA,NA,NA,NA,44192.9,42.75,0,2040.71428571429,NA,NA,44175,-42.2925,0
215,NA,NA,NA,NA,NA,NA,43991.875,45,0,NA,44053.64,204.12,43975,-43.38875,0
214,43825.5,68.5,69,57,148,51,43787.3,44.3,0,NA,43804.265,207.31,43775,-42.276250000000005,0
213,NA,NA,NA,NA,NA,NA,43584.125,43,0,NA,43603.89,204.76,43575,-39.64875,0
212,NA,NA,NA,NA,NA,NA,43406.5,41.5,0,1536.02150537634,43404.82,207.83,43375,-38.92,0
211,43137.5,63.5,50,57,57.5,82,43197.2,45.2,0,NA,43201.270000000004,207.935,43175,-39.61875,0
210,NA,NA,NA,NA,NA,NA,42973.7,37.9,0,NA,42979.005,211.65,42975,-40.5875,0
209,NA,NA,NA,NA,NA,NA,42785.375,48.5,0,1098.84615384615,42756.455,208.91,42775,-41.18,0
208,NA,NA,NA,NA,NA,NA,42587.9,39,0,NA,NA,NA,42575,-41.72,0
207,NA,NA,NA,NA,NA,NA,42392.2,37.2,0,NA,42472.44,207.48,42375,-42.68,0
206,NA,NA,NA,NA,NA,NA,42207.375,52.833333333333336,0,344.21686746988,42199.505000000005,203.53500000000003,42175,-42.9175,0
205,NA,NA,NA,NA,NA,NA,42018.75,NA,0,NA,41991.08,202.535,41975,-42.595,0
204,41810,37,40,24,306.5,35,41792,NA,0,NA,41847.05,203.33,41775,-41.113749999999996,0
203,NA,NA,NA,NA,NA,NA,41559,142,0,NA,41618.475000000006,203.875,41575,-39.53625,0
202,NA,NA,NA,NA,NA,NA,41331.75,65.75,0,NA,41383.39,207.21499999999997,41375,-40.07875,0
201,NA,NA,NA,NA,NA,NA,41175.166666666664,54.333333333333336,0,3911.36904761905,41193.28,207.87,41175,-41.792500000000004,0
200,41001.5,40.5,66,22,270.5,29,40988.5,50.5,0,NA,41036.425,204.78,40975,-43.315,0
199,NA,NA,NA,NA,NA,NA,40788.4,37.875,0,NA,40803.56333333333,201.87,40775,-42.78125,0
198,40465,34,40,31,250,44,40589.2,44.2,0,NA,40584.85,201.655,40575,-42.29875,0
197,NA,NA,NA,NA,NA,NA,40389,39.1,0,975.993788819876,40397.895000000004,200.935,40375,-41.635000000000005,0
196,40187,38,70,25,255,71,40188.1,38.3,1,NA,40186.42,201.63,40175,-41.47625,0
195,39955,45,52.5,28,227,44.5,39992.9,39,1,NA,39986.880000000005,202,39975,-43.10875,0
194,NA,NA,NA,NA,NA,NA,39783.8,42.875,1,NA,39786.67,205.735,39775,-43.16125,0
193,NA,NA,NA,NA,NA,NA,39581,41.7,1,NA,39600.64,203.5,39575,-43.17,0
192,39357,29,29,18,270,20,39385.125,51,1,NA,39386.37333333334,215.68333333333334,39375,-43.42375,0
191,NA,NA,NA,NA,NA,NA,39183,59.666666666666664,1,NA,39191.759999999995,214.41,39175,-43.2225,0
190,38876,55.5,44,20,254,23,38994,52.5,1,2813.71212121212,38996.83,212.71333333333334,38975,-42.94125,0
189,NA,NA,NA,NA,NA,NA,38784.625,49.5,1,NA,38797.535,215.375,38775,-43.050000000000004,0
188,NA,NA,NA,NA,NA,NA,38587.25,47.625,1,NA,38602.909999999996,213.87666666666667,38575,-42.491249999999994,0
187,38355,30,25,37,279.5,31,38378,48.1,1,NA,38398.455,216.54000000000002,38375,-40.87625,0
186,NA,NA,NA,NA,NA,NA,38168.25,39.125,0,3198.13432835821,38190.513333333336,219.09666666666666,38175,-38.51375,0
185,NA,NA,NA,NA,NA,NA,38004.625,49.25,0,NA,37967.729999999996,219.95,37975,-39.0925,0
184,NA,NA,NA,NA,NA,NA,37791.5,39.375,0,NA,37818.9,221,37775,-38.94625,0
183,37603,44.5,28,26,269,35,37601.625,43.666666666666664,0,NA,37581.56,219.01,37575,-39.11750000000001,0
182,NA,NA,NA,NA,NA,NA,37390.7,46.2,0,1544.32432432432,37392.51,216.96499999999997,37375,-39.85,0
181,NA,NA,NA,NA,NA,NA,37191.125,46,0,NA,37199.265,212.455,37175,-40.4125,0
180,NA,NA,NA,NA,NA,NA,36987,54.75,0,NA,36999.82,210.6,36975,-41.31875,0
179,NA,NA,NA,NA,NA,NA,36776,45.375,0,3571.25,36823.774999999994,208.565,36775,-41.01125,0
178,36602,35,35,23,302.5,38,36596.1,38.1,0,NA,36492.63,208.87,36575,-41.915,0
177,36228,48,28,51,176,97,36398.875,52.875,0,NA,NA,NA,36375,-42.37375,0
176,NA,NA,NA,NA,NA,NA,36189.75,51,0,NA,36175.78,209.77499999999998,36175,-42.83625,0
175,NA,NA,NA,NA,NA,NA,35985.875,47.375,0,NA,NA,NA,35975,-43.02,0
174,35667.5,47,32,120,6.5,94,35797.875,46,0,NA,35719.69,207.32,35775,-43.76375,0
173,NA,NA,NA,NA,NA,NA,35597.6,43.7,0,NA,NA,NA,35575,-42.510000000000005,0
172,35294,53,87,130,110,142,35397.5,47.625,0,NA,35382.14,212.445,35375,-40.4675,0
171,NA,NA,NA,NA,NA,NA,35183.8,47,0,1058.14814814815,35186.12,210.77666666666667,35175,-39.35,0
170,34956,67,46,112.5,11.5,64,34980.125,42.5,0,NA,34965.86,210.69333333333333,34975,-39.81,0
