core,depth_m,age_calBP,CO2_blank_corrected,CO2_blank_gravity_corrected,CO2_se_1sigma,notes
taylor_dome,86.175,390,NA,282.9,1.3,NA
taylor_dome,90.24,486,NA,279.7,0.5,NA
taylor_dome,95.33,573,NA,276.1,0.5,NA
taylor_dome,100.945,670,NA,277.4,0.6,NA
taylor_dome,105.145,742,NA,280.7,1,NA
taylor_dome,110.245,830,NA,280.8,0.9,NA
taylor_dome,115.245,924,NA,282.2,0.4,NA
taylor_dome,120.375,1020,NA,283.6,0.5,NA
taylor_dome,125.95,1125,NA,283.5,0.6,NA
taylor_dome,130.95,1220,NA,285,0.7,NA
taylor_dome,135.94,1319,NA,284,1.7,NA
taylor_dome,140.25,1406,NA,279.4,1.3,NA
taylor_dome,145.34,1513,NA,278.4,1.2,NA
taylor_dome,150.36,1620,NA,278.3,0.8,NA
taylor_dome,156.144,1745,NA,282.9,0.9,NA
taylor_dome,160.95,1853,NA,278.5,0.3,NA
taylor_dome,165.935,1965,NA,279.4,0.5,NA
taylor_dome,170.9,2084,NA,279.4,0.5,NA
taylor_dome,175.93,2203,NA,278.2,0.6,NA
taylor_dome,179.935,2302,NA,281.4,1,NA
taylor_dome,185.925,2453,NA,279.4,0.6,NA
taylor_dome,190.95,2581,NA,276.7,0.9,NA
taylor_dome,196.945,2742,NA,278.2,0.6,NA
taylor_dome,200.625,2841,NA,275.9,0.6,NA
taylor_dome,203.155,2912,NA,276.9,0.5,NA
taylor_dome,206.96,3021,NA,277.3,0.6,NA
taylor_dome,210.34,3118,NA,277.3,1,NA
taylor_dome,213.945,3221,NA,274.1,0.7,NA
taylor_dome,217.2,3320,NA,275.4,0.5,NA
taylor_dome,220.955,3435,NA,274.4,0.6,NA
taylor_dome,224.155,3533,NA,276.1,0.3,NA
taylor_dome,227.955,3653,NA,275.8,0.6,NA
taylor_dome,231.16,3758,NA,276.9,0.5,NA
taylor_dome,235.17,3890,NA,274.7,0.6,NA
taylor_dome,238.21,3990,NA,273.4,0.3,NA
taylor_dome,241.995,4121,NA,274.6,0.5,NA
taylor_dome,245.495,4243,NA,274.1,0.6,NA
taylor_dome,248.97,4368,NA,271.6,0.8,NA
