"","ngroups","topic","taxa","beta"
"1",4,"1","Alnus.incana.type",0.000223494792383111
"2",4,"1","Cyrilla.racemiflora",0.000318977734058956
"3",4,"1","Fraxinus.undiff.",0.00216227808551827
"4",4,"1","Nyssa",3.30568031106282e-06
"5",4,"1","Asteroideae.undiff.",0.0309111832079587
"6",4,"1","Iva.frutescens.type",0.0363044413385459
"7",4,"1","Byrsonima",1.30263446736715e-05
"8",4,"1","Carya",0.000121882830875828
"9",4,"1","Taxodium",0.00474127333587613
"10",4,"1","Xyris",0.00482583843232398
"11",4,"1","Amaranthaceae.undiff.",0.0299974480417418
"12",4,"1","Myrica",0.0158900800309698
"13",4,"1","Cupressaceae.undiff.",7.90993083229439e-09
"14",4,"1","Cyperaceae",0.0428326285270832
"15",4,"1","Ambrosia.type",0.000572638956777375
"16",4,"1","Pinus",0.0536084876822002
"17",4,"1","Quercus",0.200192366922352
"18",4,"1","Poaceae",0.488570017466325
"19",4,"1","Acer.saccharum.type",3.85615160985513e-06
"20",4,"1","Ostrya.Carpinus",3.44064055597273e-05
"21",4,"1","Ulmus",4.32349492418428e-05
"22",4,"1","Vitis",6.4889061271361e-09
"23",4,"1","Rhexia.type",0.00277218563340141
"24",4,"1","Podocarpus",1.06753691017992e-06
"25",4,"1","Polygonum.polygamum.type",0.000920250244191446
"26",4,"1","Betula",0.000758208287083909
"27",4,"1","Celtis",7.10885611456003e-08
"28",4,"1","Cephalanthus",1.05515061696021e-08
"29",4,"1","Polygonum.delopyrum.type",1.93261206457802e-05
"30",4,"1","Ericaceae",0.0629473689785615
"31",4,"1","Artemisia",2.62916083081614e-05
"32",4,"1","Liquidambar",0.00610428713266613
"33",4,"1","mimosoid.clade",2.72287309099131e-05
"34",4,"1","Polygonum.fimbriatum.type",5.01772214840544e-05
"35",4,"1","Rhus",5.36461987183003e-11
"36",4,"1","Urticaceae.undiff.",6.01716107893827e-10
"37",4,"1","Populus",3.97967567318965e-15
"38",4,"1","Chamaecyparis.type",3.56161830346969e-06
"39",4,"1","Apiaceae",0.00166555329334567
"40",4,"1","Salix",7.67415611521547e-05
"41",4,"1","Tilia",5.39649562660307e-07
"42",4,"1","Chamaecrista.type",4.43114358206241e-06
"43",4,"1","Paronychia.chartacea",8.6948516347395e-05
"44",4,"1","Urtica.type",0.000178592905845338
"45",4,"1","Trema",1.56721898458798e-15
"46",4,"1","Acer.rubrum",0.000250058556460525
"47",4,"1","Gordonia",1.6053426439793e-06
"48",4,"1","Chamaecrista.fasciculata.type",0.000501521664278624
"49",4,"1","Ranunculaceae.undiff.",3.87948735625611e-11
"50",4,"1","Ilex",7.80056089436197e-07
