"","age","agetype","ageolder","ageyounger","chronologyid","chronologyname","units","value","context","element","taxonid","symmetry","taxongroup","elementtype","variablename","ecologicalgroup","analysisunitid","sampleanalyst","sampleid","depth","thickness","samplename","datasetid","database","datasettype","age_range_old","age_range_young","datasetnotes","siteid","sitename","lat","long","area","sitenotes","description","elev","collunitid","new_age"
"1",1060,"Calibrated radiocarbon years BP",1366,680,11349,"Neotoma 2","ml",0.5,NA,"quantity added",325,NA,"Laboratory analyses","quantity added","Microsphere suspension","LABO",136306,"Hansen, Barbara C. S.","171058",69,1,NA,"19620","North American Pollen Database","pollen",66156,680,NA,"2570","Lake Tulane",27.58541,-81.503984,NA,NA,"Sinkhole lake on the Lake Wales Ridge. Native vegetation was Florida srcub with Pinus elliotti and Pinus clausa, but lake is now in the town of Avon Park. Lake has two basins, north and south.",35,"14739",1025.5
"2",1060,"Calibrated radiocarbon years BP",1366,680,11349,"Neotoma 2","ml",0.5,NA,"volume",276,NA,"Laboratory analyses","volume","Sample quantity","LABO",136306,"Hansen, Barbara C. S.","171058",69,1,NA,"19620","North American Pollen Database","pollen",66156,680,NA,"2570","Lake Tulane",27.58541,-81.503984,NA,NA,"Sinkhole lake on the Lake Wales Ridge. Native vegetation was Florida srcub with Pinus elliotti and Pinus clausa, but lake is now in the town of Avon Park. Lake has two basins, north and south.",35,"14739",1025.5
"3",1060,"Calibrated radiocarbon years BP",1366,680,11349,"Neotoma 2","NISP",1,NA,"pollen",13,NA,"Vascular plants","pollen","Alnus incana-type","TRSH",136306,"Hansen, Barbara C. S.","171058",69,1,NA,"19620","North American Pollen Database","pollen",66156,680,NA,"2570","Lake Tulane",27.58541,-81.503984,NA,NA,"Sinkhole lake on the Lake Wales Ridge. Native vegetation was Florida srcub with Pinus elliotti and Pinus clausa, but lake is now in the town of Avon Park. Lake has two basins, north and south.",35,"14739",1025.5
"4",1060,"Calibrated radiocarbon years BP",1366,680,11349,"Neotoma 2","NISP",1,NA,"pollen",75,NA,"Vascular plants","pollen","Cyrilla racemiflora","TRSH",136306,"Hansen, Barbara C. S.","171058",69,1,NA,"19620","North American Pollen Database","pollen",66156,680,NA,"2570","Lake Tulane",27.58541,-81.503984,NA,NA,"Sinkhole lake on the Lake Wales Ridge. Native vegetation was Florida srcub with Pinus elliotti and Pinus clausa, but lake is now in the town of Avon Park. Lake has two basins, north and south.",35,"14739",1025.5
"5",1060,"Calibrated radiocarbon years BP",1366,680,11349,"Neotoma 2","NISP",1,NA,"pollen",114,NA,"Vascular plants","pollen","Fraxinus undiff.","TRSH",136306,"Hansen, Barbara C. S.","171058",69,1,NA,"19620","North American Pollen Database","pollen",66156,680,NA,"2570","Lake Tulane",27.58541,-81.503984,NA,NA,"Sinkhole lake on the Lake Wales Ridge. Native vegetation was Florida srcub with Pinus elliotti and Pinus clausa, but lake is now in the town of Avon Park. Lake has two basins, north and south.",35,"14739",1025.5
"6",1060,"Calibrated radiocarbon years BP",1366,680,11349,"Neotoma 2","NISP",1,NA,"pollen",193,NA,"Vascular plants","pollen","Nyssa","TRSH",136306,"Hansen, Barbara C. S.","171058",69,1,NA,"19620","North American Pollen Database","pollen",66156,680,NA,"2570","Lake Tulane",27.58541,-81.503984,NA,NA,"Sinkhole lake on the Lake Wales Ridge. Native vegetation was Florida srcub with Pinus elliotti and Pinus clausa, but lake is now in the town of Avon Park. Lake has two basins, north and south.",35,"14739",1025.5
"7",1060,"Calibrated radiocarbon years BP",1366,680,11349,"Neotoma 2","NISP",1,NA,"pollen",307,NA,"Vascular plants","pollen","Asteroideae undiff.","UPHE",136306,"Hansen, Barbara C. S.","171058",69,1,NA,"19620","North American Pollen Database","pollen",66156,680,NA,"2570","Lake Tulane",27.58541,-81.503984,NA,NA,"Sinkhole lake on the Lake Wales Ridge. Native vegetation was Florida srcub with Pinus elliotti and Pinus clausa, but lake is now in the town of Avon Park. Lake has two basins, north and south.",35,"14739",1025.5
"8",1060,"Calibrated radiocarbon years BP",1366,680,11349,"Neotoma 2","NISP",1,NA,"pollen",456,NA,"Vascular plants","pollen","Iva frutescens-type","UPHE",136306,"Hansen, Barbara C. S.","171058",69,1,NA,"19620","North American Pollen Database","pollen",66156,680,NA,"2570","Lake Tulane",27.58541,-81.503984,NA,NA,"Sinkhole lake on the Lake Wales Ridge. Native vegetation was Florida srcub with Pinus elliotti and Pinus clausa, but lake is now in the town of Avon Park. Lake has two basins, north and south.",35,"14739",1025.5
"9",1060,"Calibrated radiocarbon years BP",1366,680,11349,"Neotoma 2","NISP",1,NA,"pollen",1719,NA,"Vascular plants","pollen","Byrsonima","TRSH",136306,"Hansen, Barbara C. S.","171058",69,1,NA,"19620","North American Pollen Database","pollen",66156,680,NA,"2570","Lake Tulane",27.58541,-81.503984,NA,NA,"Sinkhole lake on the Lake Wales Ridge. Native vegetation was Florida srcub with Pinus elliotti and Pinus clausa, but lake is now in the town of Avon Park. Lake has two basins, north and south.",35,"14739",1025.5
"10",1060,"Calibrated radiocarbon years BP",1366,680,11349,"Neotoma 2","NISP",1,NA,"pollen",2646,NA,"Vascular plants","pollen","Cladium undiff.","AQVP",136306,"Hansen, Barbara C. S.","171058",69,1,NA,"19620","North American Pollen Database","pollen",66156,680,NA,"2570","Lake Tulane",27.58541,-81.503984,NA,NA,"Sinkhole lake on the Lake Wales Ridge. Native vegetation was Florida srcub with Pinus elliotti and Pinus clausa, but lake is now in the town of Avon Park. Lake has two basins, north and south.",35,"14739",1025.5
