"","core","depth_core","pctOrg","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate"
"1","7A",4,53.6,"1B",4,4,8,-52,196.15,17
"2","7A",8,43.02,"1B",8,8,66,-36.05,295.4,15
"3","7A",12,36.71,"1B",12,12,116.5,-23.1,382.2,10.5
"4","7A",16,32.52,"1B",16,16,164,-9.05,464.05,11
"5","7A",20,31.43,"1B",20,20,213.5,9.95,525,13.5
"6","7A",24,27.33,"1B",24,24,265,32.95,574,11
"7","7A",28,23.63,"1B",28,28,307.5,51.9,643.35,11.5
"8","7A",32,21.63,"1B",32,32,355,73.95,716,10.5
"9","7A",36,20.37,"1B",36,36,404.5,98.95,773.05,12
"10","7A",40,20.22,"1B",40,40,457.5,141.9,827.3,16.5
"11","7A",44,19.51,"1B",44,44,505,178.95,866.15,10
"12","7A",48,19.87,"1B",48,48,561,216.8,904,12
"13","7A",52,19.62,"1B",52,52,620,263.85,938.05,11.5
"14","7A",56,19.07,"1B",56,56,675.5,298.9,978.1,13
"15","7A",60,18.79,"1B",60,60,722,337,1010.1,13
"16","7A",64,19.28,"1B",64,64,765,396.8,1044.1,10.5
"17","7A",68,19.18,"1B",68,68,808.5,449.95,1078,9
"18","7A",72,20.21,"1B",72,72,866,509.95,1101.05,14
"19","7A",76,21.89,"1B",76,76,917,564.75,1133.1,11
"20","7A",80,20.32,"1B",80,80,967,637.8,1161.05,10
"21","7A",84,20.21,"1B",84,84,1022.5,701.85,1182.05,15.5000000000001
"22","7A",88,20.28,"1B",88,88,1071,789.9,1203.1,11
"23","7A",92,19.39,"1B",92,92,1123,882.95,1225.05,14
"24","7A",96,18.74,"1B",96,96,1170,993,1249,12
"25","7A",100,18.4,"1B",100,100,1270,1199,1456,45.5
"26","7A",104,17.1,"1B",104,104,1358.5,1235,1694.05,23
"27","7A",108,14.81,"1B",108,108,1453.5,1266,1843.25,28.5
"28","7A",112,14.71,"1B",112,112,1545,1293,1981.05,24.5
"29","7A",116,14.63,"1B",116,116,1623.5,1326.9,2087,20.5
"30","7A",120,15.41,"1B",120,120,1709.5,1358,2205.1,29.5
"31","7A",124,15.45,"1B",124,124,1795.5,1393.9,2315.05,25
"32","7A",128,13.94,"1B",128,128,1881,1427.9,2413.05,22
"33","7A",132,15.55,"1B",132,132,1963.5,1482.7,2524.4,22.5
"34","7A",136,14.91,"1B",136,136,2059,1529.9,2576.2,25.5
"35","7A",140,14.68,"1B",140,140,2129,1594.95,2677.05,20
"36","7A",144,14.09,"1B",144,144,2214.5,1683.75,2771.15,22.5
"37","7A",148,14.5,"1B",148,148,2296,1742,2860.2,14.5
"38","7A",152,15.27,"2B",2,152,2378.5,1798.7,2937.6,17
"39","7A",156,14.49,"2B",6,156,2469.5,1862.95,3014,21
"40","7A",160,14.34,"2B",10,160,2547,1930.85,3083.2,20.5
"41","7A",164,13.36,"2B",14,164,2635,1988.85,3147.05,21.5
"42","7A",168,12.72,"2B",18,168,2713.5,2091.75,3184.1,18.5
"43","7A",172,12.42,"2B",22,172,2802,2183.9,3235,23
"44","7A",176,13.24,"2B",26,176,2896,2311.95,3273,28.5
"45","7A",180,13.05,"2B",30,180,2986,2425.85,3303.05,22
"46","7A",184,12.67,"2B",34,184,3068.5,2559.3,3333,19.5
"47","7A",188,12.28,"2B",38,188,3147,2686,3363,14
"48","7A",196,11.3,"2B",46,196,3337,3012.65,3421.05,26
"49","7A",200,11.26,"2B",50,200,3463,3416,3685.5,43
"50","7A",204,11.58,"2B",54,204,3588,3450.95,3978.05,32.5
"51","7A",208,11.79,"2B",58,208,3698,3482,4229.15,25.5
"52","7A",212,13.99,"2B",62,212,3795,3512.95,4370.2,25.5
"53","7A",216,12.2,"2B",66,216,3896,3543.95,4487.1,21.5
"54","7A",220,11.2,"2B",70,220,4000,3585.9,4609.4,21
"55","7A",224,11.95,"2B",74,224,4098.5,3629.95,4700.1,24.5
"56","7A",228,12.89,"2B",78,228,4205,3673.85,4812.3,26
"57","7A",232,14.91,"2B",82,232,4294.5,3729.95,4933.2,20.5
"58","7A",236,11.33,"2B",86,236,4384.5,3797.75,5037.1,23.5
"59","7A",240,11.2,"2B",90,240,4471,3869.85,5140.6,24
"60","7A",248,11.67,"2B",98,248,4646.5,4029.55,5342.55,23
"61","7A",252,11.59,"2B",102,252,4752.5,4103.95,5397.05,20.5
"62","7A",256,12.96,"2B",106,256,4847,4199.85,5471,35
"63","7A",260,11.64,"2B",110,260,4936.5,4303.15,5536.05,25.5
"64","7A",263,11.61,"2B",113,263,5002.5,4372,5592.45,17.5
"65","7A",268,9.33,"2B",118,268,5122,4482,5678.05,31
"66","7A",272,9.73,"2B",122,272,5219.5,4574.1,5719.1,27.5
"67","7A",276,10.33,"2B",126,276,5315,4694.75,5765.05,22.5
"68","7A",280,10.76,"2B",130,280,5414.5,4806.85,5801.05,25
"69","7A",284,10.63,"2B",134,284,5524,4964.7,5832.15,29
"70","7A",288,9.81,"2B",138,288,5618,5076,5861,20.5
"71","7A",292,9.63,"2B",142,292,5714,5230.9,5892,24
"72","7A",296,9.81,"2B",146,296,5827,5479.95,5920.05,32
"73","7A",300,10.34,"3B",0,300,5990.5,5929,6385.6,68.5
"74","7A",304,11.69,"3B",4,304,6215.5,5978,6952,60
"75","7A",308,11.35,"3B",8,308,6408.5,6024,7321.6,47.5
"76","7A",312,12.44,"3B",12,312,6602.5,6078,7600.1,53
"77","7A",316,12.73,"3B",16,316,6784,6137.95,7842.2,40.5
"78","7A",320,11.71,"3B",20,320,6957,6207.85,8076.2,51.5
"79","7A",324,11.8,"3B",24,324,7129.5,6278.85,8310.1,32.5
"80","7A",328,11.3,"3B",28,328,7297.5,6364,8511.55,45.5
"81","7A",332,12.26,"3B",32,332,7460.5,6473,8717.15,49
"82","7A",336,12.61,"3B",36,336,7647.5,6571.9,8931.05,49.5
"83","7A",340,12.83,"3B",40,340,7819,6697.55,9076.45,40
"84","7A",344,13.57,"3B",44,344,7993,6848.7,9256.1,51.5
"85","7A",348,14.1,"3B",48,348,8166,6991.95,9428.25,44
"86","7A",352,17.03,"3B",52,352,8350.5,7149.65,9547.05,42
"87","7A",356,18.79,"3B",56,356,8542,7327.3,9702.25,61.5
"88","7A",360,20.48,"3B",60,360,8716,7472.9,9804.2,35.5
"89","7A",364,21.23,"3B",64,364,8892,7660.8,9941.5,44
"90","7A",368,22.22,"3B",68,368,9054.5,7868.6,10062.2,43.5
"91","7A",372,24.67,"3B",72,372,9229.5,8059.05,10154.3,46
"92","7A",376,29.8,"3B",76,376,9405.5,8158.85,10232.3,35.5
"93","7A",380,36.86,"3B",80,380,9594,8438.5,10310.15,50
"94","7A",388,24.65,"3B",88,388,9977.5,8992.35,10429.05,51.5
"95","7A",392,20.61,"3B",92,392,10164,9375.95,10478.1,46
"96","7A",396,20.91,"3B",96,396,10373.5,9712.9,10533,53
"97","7A",400,20.65,"3B",100,400,10623,10541.95,11055.05,82
"98","7A",404,18.16,"3B",104,404,10910,10651.95,11460.1,74
"99","7A",408,18.4,"3B",108,408,11198,10780.85,11644.25,72
"100","7A",412,18.81,"3B",112,412,11470.5,10951.95,11782.15,67.5
"101","7A",416,19.09,"3B",116,416,11758,11266.85,11904.05,74
"102","7A",424,10.61,"3B",124,424,12064,11911.9,12356.2,18
"103","4A",288,10.49207673,"1B",97,425,12084,11922,12406.05,20
"104","4A",289,10.54294176,"1B",98,426,12103.5,11928.95,12426.05,19.5
"105","4A",290,11.56158736,"1B",99,427,12121,11936.95,12459.1,17.5
"106","4A",291,12.27883935,"1B",100,428,12138.5,11943.95,12486.1,17.5
"107","4A",292,12.79882908,"1B",101,429,12154.5,11950,12499.15,16
"108","4A",293,13.06608521,"1B",102,430,12174.5,11960,12522,20
"109","4A",294,13.05409467,"1B",103,431,12193,11965.95,12543.05,18.5
"110","4A",295,13.41394294,"1B",104,432,12210,11971.95,12565.15,17
"111","4A",296,13.60597719,"1B",105,433,12230,11977.95,12583.2,20
"112","4A",297,13.48595614,"1B",106,434,12250,11989,12606.05,20
"113","4A",298,13.4583256,"1B",107,435,12268.5,11995.9,12623.1,18.5
"114","4A",299,13.81381381,"1B",108,436,12285,12007,12636.05,16.5
"115","4A",300,13.70519456,"1B",109,437,12299.5,12020.95,12648,14.5
"116","4A",301,13.28980623,"1B",110,438,12316,12030.9,12659.05,16.5
"117","4A",302,13.60918441,"1B",111,439,12333.5,12035.95,12677.15,17.5
"118","4A",303,13.82318728,"1B",112,440,12355,12047.9,12694.15,21.5
"119","4A",304,14.00761744,"1B",113,441,12374,12055.95,12706,19
"120","4A",305,13.30515298,"1B",114,442,12390.5,12067,12724.1,16.5
"121","4A",306,13.49240781,"1B",115,443,12410,12077.75,12732.2,19.5
"122","4A",307,13.83622428,"1B",116,444,12425,12091.9,12751.05,15
"123","4A",308,13.88835969,"1B",117,445,12441,12101.95,12763,16
"124","4A",309,13.86563202,"1B",118,446,12459,12121.8,12773.05,18
"125","4A",310,13.72098954,"1B",119,447,12472,12131.9,12784,13
"126","4A",311,13.59815048,"1B",120,448,12492.5,12139.85,12792.05,20.5
"127","4A",312,14.46912574,"1B",121,449,12509.5,12156.9,12803.05,17
"128","4A",314,15.25974026,"1B",123,451,12539,12186.95,12827.15,16
"129","4A",315,16.12834225,"1B",124,452,12559.5,12214.45,12849.05,20.5
"130","4A",316,16.8161435,"1B",125,453,12578,12236.95,12863.15,18.5
"131","4A",317,15.87181428,"1B",126,454,12593,12248,12871,15
"132","4A",318,18.00364631,"1B",127,455,12608,12267,12878.1,15
"133","4A",319,18.26026119,"1B",128,456,12625,12291.85,12897.05,17
"134","4A",320,17.42482652,"1B",129,457,12640,12304.75,12906.05,15
"135","4A",321,18.50199577,"1B",130,458,12656.5,12324.9,12915.05,16.5
"136","4A",322,17.77832879,"1B",131,459,12671,12350,12923.05,14.5
"137","4A",323,18.28916295,"1B",132,460,12683,12377.75,12933.05,12
"138","4A",324,19.93218697,"1B",133,461,12701,12405.8,12946.05,18
"139","4A",325,23.25338895,"1B",134,462,12721,12432.95,12959,20
"140","4A",326,22.73635153,"1B",135,463,12739.5,12464.95,12972.05,18.5
"141","4A",327,23.72327044,"1B",136,464,12759,12490.95,12982.15,19.5
"142","4A",328,24.05518896,"1B",137,465,12778.5,12527.9,12995.3,19.5
"143","4A",330,36.61862096,"1B",139,467,12825,12598.95,13034,26.5
"144","4A",331,46.17314931,"1B",140,468,12856,12641.95,13050.1,31
"145","4A",332,40.74889868,"1B",141,469,12895,12706.9,13082.1,39
"146","4A",333,38.01576263,"1B",142,470,12954,12738.95,13180.05,59
"147","4A",344,28.66607774,"2B",3,481,13234,12926,13597.25,24
"148","4A",345,28.32778702,"2B",4,482,13257.5,12935.95,13617.15,23.5
"149","4A",346,29.79238754,"2B",5,483,13276.5,12947,13635.15,19
"150","4A",347,29.2503864,"2B",6,484,13297,12963.95,13654.05,20.5
"151","4A",349,29.24901186,"2B",8,486,13338.5,12990.9,13687.05,20
"152","4A",350,27.64730119,"2B",9,487,13361,13000,13710.05,22.5
"153","4A",351,28.74845105,"2B",10,488,13382,13027.95,13738.05,21
"154","4A",352,27.14730752,"2B",11,489,13405,13047.85,13753.1,23
"155","4A",353,23.52716144,"2B",12,490,13433,13059,13774.05,28
"156","4A",354,22.81770199,"2B",13,491,13459,13083,13787.15,26
"157","4A",355,21.98784412,"2B",14,492,13482.5,13105,13809.1,23.5
"158","4A",356,23.65376945,"2B",15,493,13500,13132,13824,17.5
"159","4A",357,24.76021314,"2B",16,494,13520.5,13144,13838,20.5
"160","4A",358,24.57446809,"2B",17,495,13543,13165.8,13847.05,22.5
"161","4A",359,27.30375427,"2B",18,496,13569.5,13190.85,13858.05,26.5
"162","4A",360,28.55822551,"2B",19,497,13594,13213.95,13872.05,24.5
"163","4A",361,28.07017544,"2B",20,498,13615,13232.95,13887,21
"164","4A",362,26.49239173,"2B",21,499,13634.5,13254.9,13902,19.5
"165","4A",363,29.4143167,"2B",22,500,13655,13279.95,13915.05,20.5
"166","4A",364,34.15398389,"2B",23,501,13676.5,13324.95,13930.1,21.5
"167","4A",365,34.72285845,"2B",24,502,13699,13363.95,13945,22.5
"168","4A",366,33.68674699,"2B",25,503,13724,13390,13956.1,25
"169","4A",367,28.02779616,"2B",26,504,13746.5,13417.95,13971,22.5
