"","core","drive","depth_core","totalHolDepth","depth_composite","median_age","quant_5perc","quant_95perc"
"1","7A","1B",0,0,0,-61,-73,-42
"2","7A","1B",1,1,1,-40,-64,86
"3","7A","1B",2,2,2,-24,-60,135.15
"4","7A","1B",3,3,3,-9,-55,169.05
"5","7A","1B",4,4,4,8,-52,196.15
"6","7A","1B",5,5,5,22,-47,228.25
"7","7A","1B",6,6,6,36.5,-43,253.05
"8","7A","1B",7,7,7,51,-40,266.2
"9","7A","1B",8,8,8,66,-36.05,295.4
"10","7A","1B",9,9,9,79,-33.05,322.05
"11","7A","1B",10,10,10,91,-31,344.05
"12","7A","1B",11,11,11,106,-26.1,364.05
"13","7A","1B",12,12,12,116.5,-23.1,382.2
"14","7A","1B",13,13,13,130.5,-20.1,405.05
"15","7A","1B",14,14,14,142,-17,421.05
"16","7A","1B",15,15,15,153,-14,446.1
"17","7A","1B",16,16,16,164,-9.05,464.05
"18","7A","1B",17,17,17,178,-5,478.15
"19","7A","1B",18,18,18,188.5,1.95,486.25
"20","7A","1B",19,19,19,200,5.95,508.05
"21","7A","1B",20,20,20,213.5,9.95,525
"22","7A","1B",21,21,21,228,13,533.2
"23","7A","1B",22,22,22,242,22.95,549
"24","7A","1B",23,23,23,254,28,561.05
"25","7A","1B",24,24,24,265,32.95,574
"26","7A","1B",25,25,25,274,38.9,585.2
"27","7A","1B",26,26,26,286,43.9,605.05
"28","7A","1B",27,27,27,296,48,623
"29","7A","1B",28,28,28,307.5,51.9,643.35
"30","7A","1B",29,29,29,319,57.95,660.05
"31","7A","1B",30,30,30,333,61.95,675.1
"32","7A","1B",31,31,31,344.5,68.95,683
"33","7A","1B",32,32,32,355,73.95,716
"34","7A","1B",33,33,33,368,80.85,723.05
"35","7A","1B",34,34,34,379,86.75,739.2
"36","7A","1B",35,35,35,392.5,92.95,752.1
"37","7A","1B",36,36,36,404.5,98.95,773.05
"38","7A","1B",37,37,37,417,104,790.2
"39","7A","1B",38,38,38,427.5,118.85,807.05
"40","7A","1B",39,39,39,441,134.95,816.3
"41","7A","1B",40,40,40,457.5,141.9,827.3
"42","7A","1B",41,41,41,468.5,152.9,838.1
"43","7A","1B",42,42,42,481,163.95,844.35
"44","7A","1B",43,43,43,495,170,858
"45","7A","1B",44,44,44,505,178.95,866.15
"46","7A","1B",45,45,45,520,192.75,876.05
"47","7A","1B",46,46,46,533,199.75,886.05
"48","7A","1B",47,47,47,549,203,894.1
"49","7A","1B",48,48,48,561,216.8,904
"50","7A","1B",49,49,49,577,227.85,913.05
"51","7A","1B",50,50,50,592.5,240.75,924.05
"52","7A","1B",51,51,51,608.5,254.85,932
"53","7A","1B",52,52,52,620,263.85,938.05
"54","7A","1B",53,53,53,634,271.9,945.1
"55","7A","1B",54,54,54,647,278.85,955.05
"56","7A","1B",55,55,55,662.5,285.95,971
"57","7A","1B",56,56,56,675.5,298.9,978.1
"58","7A","1B",57,57,57,688,312.85,984.2
"59","7A","1B",58,58,58,699,321.95,993.05
"60","7A","1B",59,59,59,709,330.9,1002
"61","7A","1B",60,60,60,722,337,1010.1
"62","7A","1B",61,61,61,733,348.9,1018
"63","7A","1B",62,62,62,742.5,364.65,1026.05
"64","7A","1B",63,63,63,754.5,378,1034.1
"65","7A","1B",64,64,64,765,396.8,1044.1
"66","7A","1B",65,65,65,775,408,1053.05
"67","7A","1B",66,66,66,786.5,417.95,1059.15
"68","7A","1B",67,67,67,799.5,432.9,1067
"69","7A","1B",68,68,68,808.5,449.95,1078
"70","7A","1B",69,69,69,819,463.95,1083.2
"71","7A","1B",70,70,70,838,486.9,1092
"72","7A","1B",71,71,71,852,501.9,1098
"73","7A","1B",72,72,72,866,509.95,1101.05
"74","7A","1B",73,73,73,879.5,517.95,1110.15
"75","7A","1B",74,74,74,892.5,535.9,1119
"76","7A","1B",75,75,75,906,547.7,1127
"77","7A","1B",76,76,76,917,564.75,1133.1
"78","7A","1B",77,77,77,929,579.6,1140
"79","7A","1B",78,78,78,945,597,1147.05
"80","7A","1B",79,79,79,957,612.75,1153.05
"81","7A","1B",80,80,80,967,637.8,1161.05
"82","7A","1B",81,81,81,980,661,1167
"83","7A","1B",82,82,82,990,667.95,1172
"84","7A","1B",83,83,83,1007,675.95,1178
"85","7A","1B",84,84,84,1022.5,701.85,1182.05
"86","7A","1B",85,85,85,1035,731.6,1188.05
"87","7A","1B",86,86,86,1047,738.95,1193.05
"88","7A","1B",87,87,87,1060,772.95,1200.05
"89","7A","1B",88,88,88,1071,789.9,1203.1
"90","7A","1B",89,89,89,1086,814,1211.05
"91","7A","1B",90,90,90,1098,833,1215.05
"92","7A","1B",91,91,91,1109,852.95,1221
"93","7A","1B",92,92,92,1123,882.95,1225.05
"94","7A","1B",93,93,93,1137,906.9,1231
"95","7A","1B",94,94,94,1148,928.9,1236
"96","7A","1B",95,95,95,1158,961.8,1242
"97","7A","1B",96,96,96,1170,993,1249
"98","7A","1B",97,97,97,1183,1022.95,1255
"99","7A","1B",98,98,98,1199,1083,1263
"100","7A","1B",99,99,99,1224.5,1181,1277
"101","7A","1B",100,100,100,1270,1199,1456
"102","7A","1B",101,101,101,1290,1208,1528.05
"103","7A","1B",102,102,102,1311.5,1219,1591.05
"104","7A","1B",103,103,103,1335.5,1227,1653.05
"105","7A","1B",104,104,104,1358.5,1235,1694.05
"106","7A","1B",105,105,105,1381,1244,1730.1
"107","7A","1B",106,106,106,1403,1251.95,1758.05
"108","7A","1B",107,107,107,1425,1259,1800.1
"109","7A","1B",108,108,108,1453.5,1266,1843.25
"110","7A","1B",109,109,109,1471,1273,1888.15
"111","7A","1B",110,110,110,1492.5,1279.95,1912.2
"112","7A","1B",111,111,111,1520.5,1286,1940.45
"113","7A","1B",112,112,112,1545,1293,1981.05
"114","7A","1B",113,113,113,1568,1304,2006.2
"115","7A","1B",114,114,114,1588,1311,2034.2
"116","7A","1B",115,115,115,1603,1317.9,2061
"117","7A","1B",116,116,116,1623.5,1326.9,2087
"118","7A","1B",117,117,117,1641,1332.95,2117.1
"119","7A","1B",118,118,118,1658.5,1338,2145.2
"120","7A","1B",119,119,119,1680,1350,2181.15
"121","7A","1B",120,120,120,1709.5,1358,2205.1
"122","7A","1B",121,121,121,1728.5,1364.95,2226.15
"123","7A","1B",122,122,122,1750,1375.95,2262
"124","7A","1B",123,123,123,1770.5,1382.95,2288.15
"125","7A","1B",124,124,124,1795.5,1393.9,2315.05
"126","7A","1B",125,125,125,1813,1404.85,2329.2
