Model,Parameter,Bootstrapped mean,Bootstrapped SE,Bootstrapped upper 68,Bootstrapped lower 68,t-scores,P-value
No interaction,B: Charcoal accumulation:Grass,-0.030,0.056,0.025,-0.084,-0.530,0.596
No interaction,B: Charcoal accumulation:Herbs,-0.059,0.072,0.013,-0.130,-0.813,0.416
No interaction,B: Charcoal accumulation:Pinus,0.090,0.079,0.170,0.011,1.137,0.255
No interaction,B: Charcoal accumulation:Quercus,-0.026,0.066,0.039,-0.090,-0.402,0.688
No interaction,B: d18O:Grass,0.022,0.121,0.140,-0.093,0.185,0.853
No interaction,B: d18O:Herbs,-0.192,0.154,-0.032,-0.344,-1.243,0.214
No interaction,B: d18O:Pinus,0.197,0.167,0.372,0.027,1.176,0.239
No interaction,B: d18O:Quercus,-0.081,0.135,0.059,-0.209,-0.598,0.550
No interaction,B: Heinrich events:Grass,0.233,0.139,0.363,0.103,1.677,0.094
No interaction,B: Heinrich events:Herbs,-0.075,0.179,0.100,-0.251,-0.418,0.676
No interaction,B: Heinrich events:Pinus,0.727,0.209,0.946,0.520,3.473,0.001
No interaction,B: Heinrich events:Quercus,0.214,0.155,0.370,0.057,1.385,0.166
No interaction,B: CO2:Grass,0.175,0.162,0.330,0.023,1.075,0.282
No interaction,B: CO2:Herbs,0.078,0.180,0.253,-0.091,0.432,0.665
No interaction,B: CO2:Pinus,0.344,0.240,0.594,0.104,1.434,0.152
No interaction,B: CO2:Quercus,0.533,0.148,0.673,0.388,3.602,0.000
No interaction,B: OCFS:Grass,-0.078,0.081,0.004,-0.160,-0.957,0.339
No interaction,B: OCFS:Herbs,-0.041,0.092,0.051,-0.130,-0.442,0.658
No interaction,B: OCFS:Pinus,-0.060,0.129,0.070,-0.179,-0.464,0.643
No interaction,B: OCFS:Quercus,-0.009,0.082,0.072,-0.093,-0.114,0.909
No interaction,C: Other:Other,0.706,0.222,0.874,0.579,3.174,0.002
No interaction,C: Grass:Grass,0.878,0.115,0.943,0.829,7.613,0.000
No interaction,C: Herbs:Herbs,0.650,0.149,0.784,0.526,4.346,0.000
No interaction,C: Pinus:Pinus,0.804,0.065,0.863,0.746,12.404,0.000
No interaction,C: Quercus:Quercus,0.411,0.206,0.602,0.223,1.996,0.046
No interaction,B0: Grass,-0.187,0.141,-0.050,-0.324,-1.322,0.186
No interaction,B0: Herbs,-0.113,0.105,-0.009,-0.218,-1.071,0.284
No interaction,B0: Pinus,0.691,0.210,0.890,0.493,3.292,0.001
No interaction,B0: Quercus,0.218,0.088,0.305,0.131,2.489,0.013
With interaction,B: Charcoal accumulation:Grass,-0.031,0.057,0.025,-0.086,-0.548,0.584
With interaction,B: Charcoal accumulation:Herbs,-0.049,0.069,0.022,-0.114,-0.710,0.478
With interaction,B: Charcoal accumulation:Pinus,0.093,0.082,0.176,0.011,1.133,0.257
With interaction,B: Charcoal accumulation:Quercus,-0.038,0.059,0.018,-0.094,-0.646,0.518
With interaction,B: d18O:Grass,0.032,0.116,0.141,-0.075,0.276,0.783
With interaction,B: d18O:Herbs,-0.166,0.144,-0.029,-0.306,-1.154,0.248
With interaction,B: d18O:Pinus,0.157,0.176,0.326,-0.017,0.891,0.373
With interaction,B: d18O:Quercus,-0.117,0.124,0.011,-0.236,-0.946,0.344
With interaction,B: Heinrich events:Grass,0.232,0.144,0.372,0.089,1.619,0.105
With interaction,B: Heinrich events:Herbs,-0.036,0.172,0.135,-0.210,-0.208,0.835
With interaction,B: Heinrich events:Pinus,0.753,0.210,0.964,0.550,3.593,0.000
With interaction,B: Heinrich events:Quercus,0.236,0.151,0.374,0.096,1.566,0.117
With interaction,B: CO2:Grass,0.174,0.158,0.324,0.025,1.101,0.271
With interaction,B: CO2:Herbs,0.040,0.168,0.207,-0.119,0.240,0.810
With interaction,B: CO2:Pinus,0.398,0.235,0.618,0.164,1.693,0.090
With interaction,B: CO2:Quercus,0.533,0.140,0.670,0.387,3.815,0.000
With interaction,B: OCFS:Grass,-0.079,0.083,0.000,-0.161,-0.953,0.340
With interaction,B: OCFS:Herbs,-0.057,0.085,0.028,-0.140,-0.669,0.503
With interaction,B: OCFS:Pinus,-0.059,0.125,0.071,-0.181,-0.474,0.636
With interaction,B: OCFS:Quercus,-0.008,0.072,0.062,-0.077,-0.104,0.917
With interaction,C: Other:Other,0.700,0.339,0.899,0.574,2.068,0.039
With interaction,C: Grass:Grass,0.865,0.103,0.937,0.803,8.396,0.000
With interaction,C: Herbs:Herbs,0.696,0.139,0.817,0.584,5.002,0.000
With interaction,C: Pinus:Pinus,0.703,0.169,0.833,0.579,4.169,0.000
With interaction,C: Pinus:Quercus,-0.293,0.371,0.020,-0.585,-0.788,0.431
