Model,Parameter,Bootstrapped mean,Bootstrapped SE,Bootstrapped upper 68,Bootstrapped lower 68,t-scores,P-value
No interaction,B0: Grass,-0.370,0.155,-0.219,-0.513,-2.384,0.017
No interaction,B0: Herbs,-0.162,0.166,-0.002,-0.328,-0.975,0.329
No interaction,B0: Pinus,0.715,0.263,0.978,0.466,2.722,0.006
No interaction,B0: Quercus,0.195,0.131,0.327,0.070,1.484,0.138
No interaction,B: Charcoal accumulation:Grass,-0.023,0.058,0.035,-0.080,-0.390,0.696
No interaction,B: Charcoal accumulation:Herbs,-0.052,0.072,0.020,-0.124,-0.727,0.467
No interaction,B: Charcoal accumulation:Pinus,0.097,0.078,0.177,0.021,1.250,0.211
No interaction,B: Charcoal accumulation:Quercus,-0.034,0.066,0.032,-0.099,-0.506,0.613
No interaction,B: d18O:Grass,-0.002,0.124,0.117,-0.126,-0.019,0.985
No interaction,B: d18O:Herbs,-0.201,0.151,-0.059,-0.351,-1.325,0.185
No interaction,B: d18O:Pinus,0.183,0.185,0.371,0.002,0.988,0.323
No interaction,B: d18O:Quercus,-0.075,0.139,0.063,-0.214,-0.542,0.588
No interaction,B: Heinrich events:Grass,0.227,0.143,0.369,0.079,1.586,0.113
No interaction,B: Heinrich events:Herbs,-0.071,0.173,0.102,-0.243,-0.413,0.680
No interaction,B: Heinrich events:Pinus,0.718,0.218,0.939,0.509,3.297,0.001
No interaction,B: Heinrich events:Quercus,0.195,0.159,0.351,0.035,1.225,0.220
No interaction,B: Human presence:Grass,0.851,0.417,1.257,0.437,2.039,0.041
No interaction,B: Human presence:Herbs,0.212,0.534,0.745,-0.302,0.396,0.692
No interaction,B: Human presence:Pinus,-0.094,0.705,0.580,-0.820,-0.134,0.894
No interaction,B: Human presence:Quercus,0.121,0.407,0.530,-0.284,0.298,0.766
No interaction,B: CO2:Grass,-0.048,0.184,0.135,-0.229,-0.262,0.793
No interaction,B: CO2:Herbs,0.010,0.245,0.245,-0.237,0.042,0.966
No interaction,B: CO2:Pinus,0.366,0.324,0.676,0.044,1.128,0.259
No interaction,B: CO2:Quercus,0.468,0.202,0.657,0.273,2.320,0.020
No interaction,B: OCFS:Grass,-0.101,0.076,-0.026,-0.174,-1.325,0.185
No interaction,B: OCFS:Herbs,-0.055,0.099,0.039,-0.155,-0.561,0.575
No interaction,B: OCFS:Pinus,-0.060,0.127,0.065,-0.190,-0.476,0.634
No interaction,B: OCFS:Quercus,-0.022,0.080,0.057,-0.100,-0.276,0.782
No interaction,C: Other:Other,0.731,0.226,0.895,0.586,3.233,0.001
No interaction,C: Grass:Grass,0.866,0.099,0.937,0.805,8.740,0.000
No interaction,C: Herbs:Herbs,0.659,0.152,0.790,0.537,4.348,0.000
No interaction,C: Pinus:Pinus,0.808,0.067,0.870,0.751,11.988,0.000
No interaction,C: Quercus:Quercus,0.372,0.200,0.566,0.182,1.862,0.063
With interaction,B0: Grass,-0.375,0.139,-0.240,-0.518,-2.699,0.007
With interaction,B0: Herbs,-0.181,0.162,-0.029,-0.334,-1.119,0.263
With interaction,B0: Pinus,0.664,0.248,0.915,0.423,2.682,0.007
With interaction,B0: Quercus,0.151,0.123,0.267,0.033,1.231,0.218
With interaction,B: Charcoal accumulation:Grass,-0.024,0.052,0.028,-0.077,-0.461,0.645
With interaction,B: Charcoal accumulation:Herbs,-0.047,0.068,0.018,-0.111,-0.685,0.493
With interaction,B: Charcoal accumulation:Pinus,0.094,0.078,0.168,0.018,1.208,0.227
With interaction,B: Charcoal accumulation:Quercus,-0.039,0.060,0.020,-0.098,-0.648,0.517
With interaction,B: d18O:Grass,0.007,0.116,0.122,-0.108,0.058,0.954
With interaction,B: d18O:Herbs,-0.182,0.143,-0.044,-0.321,-1.271,0.204
With interaction,B: d18O:Pinus,0.165,0.174,0.331,-0.003,0.947,0.344
With interaction,B: d18O:Quercus,-0.118,0.124,0.003,-0.244,-0.952,0.341
With interaction,B: Heinrich events:Grass,0.226,0.136,0.366,0.093,1.660,0.097
With interaction,B: Heinrich events:Herbs,-0.047,0.169,0.128,-0.209,-0.275,0.783
With interaction,B: Heinrich events:Pinus,0.755,0.207,0.967,0.550,3.640,0.000
With interaction,B: Heinrich events:Quercus,0.216,0.139,0.353,0.078,1.561,0.118
With interaction,B: Human presence:Grass,0.874,0.409,1.282,0.458,2.135,0.033
With interaction,B: Human presence:Herbs,0.282,0.506,0.785,-0.226,0.558,0.577
With interaction,B: Human presence:Pinus,-0.040,0.737,0.656,-0.768,-0.054,0.957
With interaction,B: Human presence:Quercus,0.268,0.377,0.646,-0.082,0.712,0.477
With interaction,B: CO2:Grass,-0.069,0.186,0.107,-0.246,-0.372,0.710
With interaction,B: CO2:Herbs,-0.049,0.222,0.174,-0.269,-0.222,0.824
With interaction,B: CO2:Pinus,0.386,0.321,0.712,0.068,1.202,0.229
With interaction,B: CO2:Quercus,0.433,0.175,0.600,0.264,2.477,0.013
With interaction,B: OCFS:Grass,-0.101,0.076,-0.027,-0.176,-1.327,0.184
With interaction,B: OCFS:Herbs,-0.074,0.095,0.020,-0.169,-0.783,0.434
