"model","nblock","k","logLik","AICc","dAICc","w","evid","failed"
"CLIM+ABRUPT",2,7,-351.562199022108,718.61773137755,0,0.247221130869039,1,FALSE
"CLIM+ABRUPT+TIME",3,8,-351.047764833526,720.041475612997,1.42374423544777,0.121317501106438,2.03780269634913,FALSE
"CLIM+ABRUPT+FIRE",3,8,-351.288925342468,720.523796630883,1.90606525333294,0.0953210412713635,2.593563053568,FALSE
"CLIM+ABRUPT+HUMAN",3,8,-351.466937786844,720.879821519634,2.26209014208382,0.0797772305071426,3.09889337217471,FALSE
"ABRUPT+HUMAN",2,6,-354.193764983548,721.49279312499,2.87506174744021,0.0587183526197505,4.21028724136725,FALSE
"ABRUPT+TIME",2,6,-354.266171210957,721.637605579809,3.01987420225964,0.05461704981406,4.52644607701598,FALSE
"CLIM+ABRUPT+FIRE+TIME",4,9,-350.830066022169,722.125885468995,3.50815409144525,0.0427857950895748,5.77811234666705,FALSE
"CLIM+ABRUPT+HUMAN+TIME",4,9,-350.874288152319,722.214329729295,3.59659835174523,0.0409349420398076,6.03936682330284,FALSE
"ABRUPT",1,5,-355.755153875822,722.289528530865,3.6717971533152,0.0394243886525154,6.27076637885329,FALSE
"CLIM+ABRUPT+FIRE+HUMAN",4,9,-350.997098793124,722.459951010905,3.84221963335494,0.0362041367119806,6.82853268497433,FALSE
"ABRUPT+HUMAN+TIME",3,7,-353.748730194866,722.990793723066,4.37306234551613,0.0277643279657601,8.90427209957755,FALSE
"ABRUPT+FIRE+HUMAN",3,7,-354.171563165526,723.836459664385,5.21872828683513,0.0181908561660492,13.5904065543899,FALSE
"ABRUPT+FIRE",2,6,-355.438215416046,723.981693989987,5.36396261243692,0.0169167100972159,14.6140194782746,FALSE
"ABRUPT+FIRE+TIME",3,7,-354.251230131799,723.995793596931,5.37806221938081,0.0167978700074703,14.7174094548353,FALSE
"CLIM+ABRUPT+FIRE+HUMAN+TIME",5,10,-350.514316412691,724.084188380937,5.46645700338752,0.0160716154592692,15.3824692667379,FALSE
"CLIM",1,6,-355.833765652364,724.772794462623,6.15506308507304,0.0113901809064882,21.7047589409412,FALSE
"ABRUPT+FIRE+HUMAN+TIME",4,8,-353.568091947528,725.082129841001,6.46439846345163,0.00975796594144468,25.3353139734814,FALSE
"CLIM+FIRE",2,7,-354.799856994574,725.093047322481,6.47531594493171,0.0097048448542494,25.4739910407521,FALSE
"CLIM+TIME",2,7,-355.026775733109,725.546884799552,6.92915342200217,0.00773462105435236,31.9629273537486,FALSE
"HUMAN",1,5,-357.408838892016,725.596898563252,6.97916718570275,0.00754360066598384,32.7722982452963,FALSE
"CLIM+FIRE+HUMAN",3,8,-354.09220880137,726.130363548685,7.51263217113558,0.00577747720236434,42.7904987263069,FALSE
"CLIM+FIRE+TIME",3,8,-354.290496796596,726.526939539138,7.90920816158871,0.00473830331875372,52.1750327570974,FALSE
"TIME",1,5,-357.884462148133,726.548145075487,7.93041369793707,0.00468832958524589,52.731175650927,FALSE
"CLIM+HUMAN",2,7,-355.613016540706,726.719366414745,8.10163503719525,0.0043036594006631,57.4443997196774,FALSE
"FIRE+HUMAN",2,6,-356.955196318718,727.01565579533,8.39792441778047,0.00371107278019018,66.6171604579443,FALSE
"null",0,4,-359.285966261941,727.084753036703,8.46702165915372,0.00358504982884787,68.9589106627532,FALSE
"HUMAN+TIME",2,6,-357.094483001619,727.294229161134,8.67649778358384,0.00322855384510003,76.5733336751517,FALSE
"CLIM+HUMAN+TIME",3,8,-354.705388027821,727.356722001587,8.73899062403768,0.00312923288789094,79.0037493935654,FALSE
"CLIM+FIRE+HUMAN+TIME",4,9,-353.517483331782,727.500720088222,8.88298871067218,0.00291185066808702,84.9017202628231,FALSE
"FIRE+HUMAN+TIME",3,7,-356.188797620945,727.870928575223,9.25319719767344,0.00241979930268657,102.165965001545,FALSE
"FIRE+TIME",2,6,-357.504812082196,728.114887322286,9.49715594473673,0.00214192558478147,115.42003729054,FALSE
"FIRE",1,5,-359.272035907135,729.323292593491,10.7055612159411,0.00117058379543377,211.194731922141,FALSE
