"model","nblock","k","logLik","AICc","dAICc","w","evid","failed"
"CLIM+ABRUPT+HUMAN+TIME",4,9,-346.793381025561,714.052515475779,0,0.31531010699601,1,FALSE
"CLIM+ABRUPT+TIME",3,8,-348.300096024794,714.546137995534,0.493622519754695,0.246348047029395,1.27993751441588,FALSE
"CLIM+HUMAN+TIME",3,8,-349.2578520856,716.461650117145,2.40913464136611,0.0945368117075778,3.33531564372332,FALSE
"CLIM+ABRUPT+FIRE+HUMAN+TIME",5,10,-346.77844529439,716.612446144336,2.5599306685566,0.0876710100809377,3.59651504761854,FALSE
"CLIM+ABRUPT+FIRE+TIME",4,9,-348.214276563127,716.894306550911,2.84179107513228,0.0761466498013583,4.14082704647612,FALSE
"CLIM+TIME",2,7,-351.264272110744,718.021877554822,3.96936207904309,0.0433313149093915,7.27672602724711,FALSE
"CLIM+ABRUPT",2,7,-351.562199022108,718.61773137755,4.56521590177067,0.032167244084359,9.80221078837543,FALSE
"CLIM+FIRE+HUMAN+TIME",4,9,-349.173984639222,718.813722703102,4.76120722732321,0.0291645230786561,10.8114268196886,FALSE
"CLIM+FIRE+TIME",3,8,-351.259128939538,720.464203825023,6.41168834924349,0.0127778403323261,24.6763223514634,FALSE
"CLIM+ABRUPT+FIRE",3,8,-351.288925342468,720.523796630883,6.47128115510361,0.0124027229799199,25.4226517440161,FALSE
"CLIM+ABRUPT+HUMAN",3,8,-351.466937786844,720.879821519634,6.82730604385449,0.0103802358523181,30.3760060447561,FALSE
"ABRUPT+HUMAN",2,6,-354.193764983548,721.49279312499,7.44027764921088,0.00764015427933441,41.2701230194894,FALSE
"ABRUPT+HUMAN+TIME",3,7,-353.29882445717,722.090982247673,8.03846677189358,0.00566509257129419,55.6584209397971,FALSE
"ABRUPT",1,5,-355.755153875822,722.289528530865,8.23701305508587,0.00512971495682499,61.4673738501776,FALSE
"CLIM+ABRUPT+FIRE+HUMAN",4,9,-350.997098793124,722.459951010905,8.40743553512561,0.00471071100752591,66.9347167534296,FALSE
"ABRUPT+FIRE+HUMAN",3,7,-354.171563165526,723.836459664385,9.7839441886058,0.00236690815360255,133.216029745849,FALSE
"ABRUPT+FIRE",2,6,-355.438215416046,723.981693989987,9.92917851420759,0.00220112229439541,143.249699391472,FALSE
"ABRUPT+FIRE+HUMAN+TIME",4,8,-353.210387535109,724.366721016163,10.3142055403843,0.00181566873886023,173.660591410492,FALSE
"ABRUPT+TIME",2,6,-355.74678591255,724.598834982994,10.5463195072148,0.00161671589705261,195.031240535733,FALSE
"CLIM",1,6,-355.833765652364,724.772794462623,10.7202789868437,0.00148203645900359,212.754622249982,FALSE
"CLIM+FIRE",2,7,-354.799856994574,725.093047322481,11.0405318467024,0.00126274850426458,249.701429802639,FALSE
"HUMAN+TIME",2,6,-356.073492326177,725.252247810249,11.1997323344697,0.00116612986004167,270.390217933997,FALSE
"HUMAN",1,5,-357.408838892016,725.596898563252,11.5443830874734,0.000981537634119873,321.240975419901,FALSE
"CLIM+FIRE+HUMAN",3,8,-354.09220880137,726.130363548685,12.0778480729062,0.00075173800357188,419.44148825497,FALSE
"ABRUPT+FIRE+TIME",3,7,-355.320109913916,726.133553161165,12.0810376853863,0.00075054008259276,420.110949846626,FALSE
"CLIM+HUMAN",2,7,-355.613016540706,726.719366414745,12.6668509389659,0.000559971803018776,563.082114663972,FALSE
"FIRE+HUMAN",2,6,-356.955196318718,727.01565579533,12.9631403195511,0.000482867235157319,652.995448931798,FALSE
"null",0,4,-359.285966261941,727.084753036703,13.0322375609244,0.00046646972487246,675.949778053056,FALSE
"FIRE+HUMAN+TIME",3,7,-356.048580640084,727.590494613501,13.5379791377215,0.00036224556251203,870.43193796346,FALSE
"FIRE",1,5,-359.272035907135,729.323292593491,15.2707771177118,0.000152310826087356,2070.17527969527,FALSE
"TIME",1,5,-359.285028770341,729.349278319902,15.2967628441228,0.000150344672997868,2097.24828095826,FALSE
"FIRE+TIME",2,6,-359.254098634414,731.613460426722,17.5609449509431,4.84648806200046e-05,6505.95034924858,FALSE
