"model","dropped","reduced","dev","df","P"
"CLIM","CLIM","null",11.5760795814089,2,0.00306398234037853
"ABRUPT","ABRUPT","null",1.48957739837908,1,0.222282040443875
"CLIM+ABRUPT","CLIM","ABRUPT",13.1037122330117,2,0.00142746359911169
"CLIM+ABRUPT","ABRUPT","CLIM",3.01721004998194,1,0.0823850851914317
"FIRE","FIRE","null",0.108680871142269,1,0.741650971988959
"CLIM+FIRE","CLIM","FIRE",14.7564864193297,2,0.000624697384886274
"CLIM+FIRE","FIRE","CLIM",3.2890877090631,1,0.0697417622693405
"ABRUPT+FIRE","ABRUPT","FIRE",1.84848488392424,1,0.173959714199652
"ABRUPT+FIRE","FIRE","ABRUPT",0.467588356687429,1,0.494098734332904
"CLIM+ABRUPT+FIRE","CLIM","ABRUPT+FIRE",14.4888881885604,2,0.000714131031981872
"CLIM+ABRUPT+FIRE","ABRUPT","CLIM+FIRE",1.58088665315495,1,0.208633024491156
"CLIM+ABRUPT+FIRE","FIRE","CLIM+ABRUPT",1.8527643122361,1,0.173462230476839
"HUMAN","HUMAN","null",5.43373009931554,1,0.0197514471658384
"CLIM+HUMAN","CLIM","HUMAN",7.07623300073737,2,0.0290680251688021
"CLIM+HUMAN","HUMAN","CLIM",0.933883518644052,1,0.333855824275191
"ABRUPT+HUMAN","ABRUPT","HUMAN",1.12832265755844,1,0.288133402014234
"ABRUPT+HUMAN","HUMAN","ABRUPT",5.0724753584949,1,0.0243086471615835
"CLIM+ABRUPT+HUMAN","CLIM","ABRUPT+HUMAN",8.80850193959486,2,0.012225260075262
"CLIM+ABRUPT+HUMAN","ABRUPT","CLIM+HUMAN",2.86059159641593,1,0.0907741078429161
"CLIM+ABRUPT+HUMAN","HUMAN","CLIM+ABRUPT",0.777265065078041,1,0.377978887347651
"FIRE+HUMAN","FIRE","HUMAN",0.637662734569062,1,0.424558424202312
"FIRE+HUMAN","HUMAN","FIRE",5.96271196274233,1,0.0146115490827632
"CLIM+FIRE+HUMAN","CLIM","FIRE+HUMAN",11.146289786621,2,0.00379851570193184
"CLIM+FIRE+HUMAN","FIRE","CLIM+HUMAN",4.70771952045266,1,0.0300274588692326
"CLIM+FIRE+HUMAN","HUMAN","CLIM+FIRE",2.35251533003361,1,0.125081037841558
"ABRUPT+FIRE+HUMAN","ABRUPT","FIRE+HUMAN",0.705521436208414,1,0.40093460785239
"ABRUPT+FIRE+HUMAN","FIRE","ABRUPT+HUMAN",0.214861513219034,1,0.642983393721755
"ABRUPT+FIRE+HUMAN","HUMAN","ABRUPT+FIRE",4.8197485150265,1,0.0281354499816576
"CLIM+ABRUPT+FIRE+HUMAN","CLIM","ABRUPT+FIRE+HUMAN",11.5766304594778,2,0.0030631385162575
"CLIM+ABRUPT+FIRE+HUMAN","ABRUPT","CLIM+FIRE+HUMAN",1.13586210906522,1,0.286528385668686
"CLIM+ABRUPT+FIRE+HUMAN","FIRE","CLIM+ABRUPT+HUMAN",2.98299003310194,1,0.0841436952993672
"CLIM+ABRUPT+FIRE+HUMAN","HUMAN","CLIM+ABRUPT+FIRE",1.90749078594388,1,0.167242252787364
"TIME","TIME","null",0.0318355028139194,1,0.858389168316536
"CLIM+TIME","CLIM","TIME",19.0655749347347,2,7.24374253529726e-05
"CLIM+TIME","TIME","CLIM",7.5213308561398,1,0.00609726170403906
"ABRUPT+TIME","ABRUPT","TIME",1.5385142107383,1,0.214839097458714
"ABRUPT+TIME","TIME","ABRUPT",0.0807723151731352,1,0.77625350888911
"CLIM+ABRUPT+TIME","CLIM","ABRUPT+TIME",19.310364189612,2,6.40925711912607e-05
"CLIM+ABRUPT+TIME","ABRUPT","CLIM+TIME",1.78330346561552,1,0.181744202558303
"CLIM+ABRUPT+TIME","TIME","CLIM+ABRUPT",6.28742427177338,1,0.0121597636040568
"FIRE+TIME","FIRE","TIME",0.0802273672734373,1,0.776989525939615
"FIRE+TIME","TIME","FIRE",0.00338199894508762,1,0.953625199607748
"CLIM+FIRE+TIME","CLIM","FIRE+TIME",19.119949490871,2,7.04945789495278e-05
"CLIM+FIRE+TIME","FIRE","CLIM+TIME",0.134601923409718,1,0.71370752502796
"CLIM+FIRE+TIME","TIME","CLIM+FIRE",4.36684507048642,1,0.0366447789431164
"ABRUPT+FIRE+TIME","ABRUPT","FIRE+TIME",1.90367288520304,1,0.167667781871359
"ABRUPT+FIRE+TIME","FIRE","ABRUPT+TIME",0.445386041738175,1,0.504534232862914
"ABRUPT+FIRE+TIME","TIME","ABRUPT+FIRE",0.0585700002238809,1,0.808770557433385
"CLIM+ABRUPT+FIRE+TIME","CLIM","ABRUPT+FIRE+TIME",18.8607865963122,2,8.02476324832167e-05
"CLIM+ABRUPT+FIRE+TIME","ABRUPT","CLIM+FIRE+TIME",1.64450999064422,1,0.199707800878742
"CLIM+ABRUPT+FIRE+TIME","FIRE","CLIM+ABRUPT+TIME",-0.00419155156157558,1,1
"CLIM+ABRUPT+FIRE+TIME","TIME","CLIM+ABRUPT+FIRE",4.4304684079757,1,0.0353028182963498
"HUMAN+TIME","HUMAN","TIME",6.56860503985035,1,0.0103793272513869
"HUMAN+TIME","TIME","HUMAN",1.16671044334873,1,0.280078188200393
"CLIM+HUMAN+TIME","CLIM","HUMAN+TIME",15.3098258769149,2,0.000473711089246468
"CLIM+HUMAN+TIME","HUMAN","CLIM+TIME",2.81285598203056,1,0.0935117629390178
"CLIM+HUMAN+TIME","TIME","CLIM+HUMAN",9.4003033195263,1,0.00216949548370078
"ABRUPT+HUMAN+TIME","ABRUPT","HUMAN+TIME",0.83632953347626,1,0.36044864049124
"ABRUPT+HUMAN+TIME","HUMAN","ABRUPT+TIME",5.86642036258831,1,0.0154324013931157
"ABRUPT+HUMAN+TIME","TIME","ABRUPT+HUMAN",0.874717319266551,1,0.349652657121645
"CLIM+ABRUPT+HUMAN+TIME","CLIM","ABRUPT+HUMAN+TIME",15.9120898362728,2,0.000350536781070054
"CLIM+ABRUPT+HUMAN+TIME","ABRUPT","CLIM+HUMAN+TIME",1.43859349283412,1,0.230367079522475
"CLIM+ABRUPT+HUMAN+TIME","HUMAN","CLIM+ABRUPT+TIME",2.46814600924915,1,0.116174886013716
"CLIM+ABRUPT+HUMAN+TIME","TIME","CLIM+ABRUPT+HUMAN",7.97830521594449,1,0.00473412410595244
"FIRE+HUMAN+TIME","FIRE","HUMAN+TIME",0.0374486320914684,1,0.846554492600547
"FIRE+HUMAN+TIME","HUMAN","FIRE+TIME",6.52582630466839,1,0.0106319143998444
"FIRE+HUMAN+TIME","TIME","FIRE+HUMAN",0.56649634087114,1,0.451654545861398
"CLIM+FIRE+HUMAN+TIME","CLIM","FIRE+HUMAN+TIME",15.6753438413011,2,0.000394586601081452
"CLIM+FIRE+HUMAN+TIME","FIRE","CLIM+HUMAN+TIME",0.402966596477654,1,0.525561146261064
"CLIM+FIRE+HUMAN+TIME","HUMAN","CLIM+FIRE+TIME",3.08122065509849,1,0.0792010641881699
"CLIM+FIRE+HUMAN+TIME","TIME","CLIM+FIRE+HUMAN",5.0955503955513,1,0.0239873007765097
"ABRUPT+FIRE+HUMAN+TIME","ABRUPT","FIRE+HUMAN+TIME",0.80991447840961,1,0.368145536383516
"ABRUPT+FIRE+HUMAN+TIME","FIRE","ABRUPT+HUMAN+TIME",0.0110335770248184,1,0.916343406258399
"ABRUPT+FIRE+HUMAN+TIME","HUMAN","ABRUPT+FIRE+TIME",5.43206789787496,1,0.019770255004689
"ABRUPT+FIRE+HUMAN+TIME","TIME","ABRUPT+FIRE+HUMAN",0.670889383072335,1,0.412741699403205
"CLIM+ABRUPT+FIRE+HUMAN+TIME","CLIM","ABRUPT+FIRE+HUMAN+TIME",16.0003740216358,2,0.000335399898627799
"CLIM+ABRUPT+FIRE+HUMAN+TIME","ABRUPT","CLIM+FIRE+HUMAN+TIME",1.1349446587443,1,0.286723086514336
"CLIM+ABRUPT+FIRE+HUMAN+TIME","FIRE","CLIM+ABRUPT+HUMAN+TIME",0.099317762387841,1,0.752649886899761
"CLIM+ABRUPT+FIRE+HUMAN+TIME","HUMAN","CLIM+ABRUPT+FIRE+TIME",2.57165532319857,1,0.108793835926473
"CLIM+ABRUPT+FIRE+HUMAN+TIME","TIME","CLIM+ABRUPT+FIRE+HUMAN",5.09463294523039,1,0.0239999928193332
