"label","k","logLik","AICc","dAICc","w","dev","df","P"
"CLIM+HUMAN+TIME",8,-373.396490421741,764.738926789427,0,0.220842465365558,21.9102664195792,4,0.000208833668710625
"CLIM+TIME",7,-374.802918412756,765.099170158845,0.360243369417958,0.184440687757485,19.0974104375487,3,0.000261007703408504
"CLIM+ABRUPT+TIME",8,-373.911266679948,765.768479305842,1.02955251641504,0.131983031189539,20.8807139031642,4,0.000334387598236149
"CLIM+ABRUPT+HUMAN+TIME",9,-372.677193675324,765.820140775305,1.08121398587753,0.12861746714865,23.3488599124133,5,0.000289470943560396
"CLIM+FIRE+HUMAN+TIME",9,-373.195007123502,766.855767671661,2.11684088223399,0.0766331062474931,22.3132330160569,5,0.000456457025821394
"CLIM+FIRE+TIME",8,-374.735617451051,767.417180848048,2.67825405862084,0.0578771459995975,19.2320123609584,4,0.000707591717176175
"CLIM+ABRUPT+FIRE+TIME",9,-373.913362455729,768.292478336116,3.55355154668825,0.0373627361310678,20.8765223516026,5,0.000854743625645832
"CLIM+ABRUPT+FIRE+HUMAN+TIME",10,-372.62753479413,768.310625143815,3.57169835438765,0.0370252622707872,23.4481776748012,6,0.000659463096637423
"CLIM+FIRE",7,-376.919039986294,769.331413305922,4.59248651649466,0.0222247462205909,14.865167290472,3,0.00193557428534478
"CLIM+FIRE+HUMAN",8,-375.742782321278,769.431510588501,4.69258379907365,0.0211398042647395,17.2176826205056,4,0.00175347163314198
"CLIM+ABRUPT",7,-377.054978815835,769.603290965003,4.86436417557582,0.0193998926616264,14.5932896313908,3,0.00219935902798339
"CLIM+ABRUPT+FIRE",8,-376.128596659717,770.20313926538,5.46421247595231,0.0143728841022119,16.4460539436269,4,0.00247547326476042
"CLIM",6,-378.563583840826,770.232430839547,5.4935040501191,0.014163915889132,11.5760795814089,2,0.00306398234037853
"CLIM+ABRUPT+FIRE+HUMAN",9,-375.174851266745,770.815455958147,6.07652916872007,0.010582323730491,18.3535447295708,5,0.0025344434763039
"CLIM+ABRUPT+HUMAN",8,-376.666346283296,771.278638512538,6.53971172311037,0.00839464295859971,15.3705546964688,4,0.00399126117172537
"CLIM+HUMAN",7,-378.096642081504,771.686617496341,6.9476907069137,0.00684558738601789,12.5099631000529,3,0.00582559658458336
"HUMAN",5,-381.634758581873,774.048737942966,9.30981115353848,0.00210127445538515,5.43373009931554,1,0.0197514471658384
"HUMAN+TIME",6,-381.051403360198,775.208069878291,10.4691430888637,0.00117689319000872,6.60044054266427,2,0.0368750439915331
"ABRUPT+HUMAN",6,-381.070597253093,775.246457664081,10.507530874654,0.00115451943478178,6.56205275687398,2,0.0375896557887829
"FIRE+HUMAN",6,-381.315927214588,775.737117587071,10.9981907976434,0.000903349481365728,6.0713928338846,2,0.0480411945211904
"ABRUPT+HUMAN+TIME",7,-380.63323859346,776.759810520253,12.0208837308261,0.00054172746046642,7.43677007614053,3,0.0592055512935768
"null",4,-384.35162363153,777.216067775881,12.4771409864538,0.000431226902155159,0,0,NA
"ABRUPT+FIRE+HUMAN",7,-380.963166496484,777.419666326301,12.6807395368736,0.000389488808334223,6.77691427009302,3,0.0793586238234438
"FIRE+HUMAN+TIME",7,-381.032679044152,777.558691421638,12.8197646322109,0.000363334022670932,6.63788917475574,3,0.0843802695214583
"ABRUPT",5,-383.606834932341,777.992890643902,13.2539638544749,0.00029242931305022,1.48957739837908,1,0.222282040443875
"ABRUPT+FIRE+HUMAN+TIME",8,-380.627721804948,779.201389555841,14.4624627664139,0.000159808067447608,7.44780365316535,4,0.114033078510408
"FIRE",5,-384.297283195959,779.373787171139,14.6348603817117,0.00014660981074305,0.108680871142269,1,0.741650971988959
"TIME",5,-384.335705880123,779.450632539468,14.7117057500401,0.000141083515691134,0.0318355028139194,1,0.858389168316536
"ABRUPT+FIRE",6,-383.373040753997,779.851344665889,15.1124178764614,0.000115468291717549,1.95716575506651,2,0.375843337676327
"ABRUPT+TIME",6,-383.566448774754,780.238160707403,15.4992339179757,9.51626888309421e-05,1.57034971355222,2,0.456039953137564
"FIRE+TIME",6,-384.295592196487,781.696447550868,16.9575207614406,4.58990545675665e-05,0.112062870087357,2,0.945509413293528
"ABRUPT+FIRE+TIME",7,-383.343755753885,782.180844841104,17.4419180516762,3.60261791966044e-05,2.01573575529039,3,0.569147121940052
