"label","logLik_spread"
"null",0
"CLIM",9.78176797161723e-06
"ABRUPT",0.00243372941747566
"CLIM+ABRUPT",0.0204372275730975
"FIRE",7.90230825487015e-06
"CLIM+FIRE",0.000331128226775945
"ABRUPT+FIRE",2.59551846397699e-05
"CLIM+ABRUPT+FIRE",0.371988117772503
"HUMAN",3.23246291600299e-06
"CLIM+HUMAN",0.00455731836535733
"ABRUPT+HUMAN",2.59897395267217e-05
"CLIM+ABRUPT+HUMAN",0.0609758607625395
"FIRE+HUMAN",9.24628236589342e-05
"CLIM+FIRE+HUMAN",0.324208899099176
"ABRUPT+FIRE+HUMAN",0.00406665780042204
"CLIM+ABRUPT+FIRE+HUMAN",1.59776546686061
"TIME",3.36234006113045e-05
"CLIM+TIME",0.004254426939724
"ABRUPT+TIME",3.98034342765641e-05
"CLIM+ABRUPT+TIME",0.585062561745815
"FIRE+TIME",0.000252426191821087
"CLIM+FIRE+TIME",0.400520527980689
"ABRUPT+FIRE+TIME",0.000141357252175567
"CLIM+ABRUPT+FIRE+TIME",1.42301274404917
"HUMAN+TIME",0.000108931387387656
"CLIM+HUMAN+TIME",0.0341773759940907
"ABRUPT+HUMAN+TIME",0.0389658287596149
"CLIM+ABRUPT+HUMAN+TIME",0.0281039943390056
"FIRE+HUMAN+TIME",0.0212489014369339
"CLIM+FIRE+HUMAN+TIME",0.414729978046239
"ABRUPT+FIRE+HUMAN+TIME",0.0062538260274323
"CLIM+ABRUPT+FIRE+HUMAN+TIME",0.5082605298266
